债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间,信用评级
118058,微导转债,2025-08-06,718147,100,688147,微导纳米,34.54,33.57,102.8895,100.0,-2.81,2025-08-05,2.557,11.7,2025-08-08,0.0014953,,AA
127110,广核转债,2025-07-09,073816,100,003816,中国广核,3.73,3.67,101.6349,136.986,34.78,2025-07-08,0.1245,49.0,2025-07-11,0.0186422035,2025-07-25,AAA
111023,利柏转债,2025-07-03,713167,100,605167,利柏特,10.93,12.14,90.1153,137.911,53.04,2025-07-02,1.689,7.5,2025-07-07,0.00173477,2025-07-22,AA
113696,伯25转债,2025-07-01,754596,100,603596,伯特利,49.87,52.42,95.1354,138.264,45.33,2025-06-30,4.633,28.02,2025-07-03,0.00894996,2025-07-28,AA
118057,甬矽转债,2025-06-26,718362,100,688362,甬矽电子,35.79,28.39,126.1007,172.801,36.98,2025-06-25,2.879,11.65,2025-06-30,0.004213,2025-07-16,A+
113695,华辰转债,2025-06-20,754097,100,603097,江苏华辰,22.35,23.53,94.9851,149.185,57.06,2025-06-19,2.797,4.6,2025-06-24,0.0003492,2025-07-10,A+
111022,锡振转债,2025-06-18,713319,100,605319,无锡振华,35.09,31.98,109.7248,151.332,37.94,2025-06-17,2.079,5.2,2025-06-20,0.00091285,2025-07-14,AA-
123257,安克转债,2025-06-16,370866,100,300866,安克创新,137.62,111.28,123.67,180.025,45.57,2025-06-13,2.0785,11.0482,2025-06-18,0.0026475779,2025-07-04,AA+
127109,电化转债,2025-06-16,072125,100,002125,湘潭电化,13.28,10.1,131.3861,165.531,26.01,2025-06-13,0.7736,4.87,2025-06-18,0.0015321157,2025-07-04,AA
118056,路维转债,2025-06-11,718401,100,688401,路维光电,41.01,32.7,125.4128,160.523,28.01,2025-06-10,3.201,6.15,2025-06-13,0.00165975,2025-07-10,AA-
123256,恒帅转债,2025-05-29,370969,100,300969,恒帅股份,90.28,62.55,144.3325,212.83,47.46,2025-05-28,2.9249,3.2759,2025-06-03,0.0003825294,2025-06-17,A+
118055,伟测转债,2025-04-09,718372,100,688372,伟测科技,60.24,62.68,96.1072,142.711,48.45,2025-04-08,10.322,11.75,2025-04-11,0.00471648,2025-04-30,AA
113694,清源转债,2025-04-08,754628,100,603628,清源股份,13.2,12.86,102.6439,131.488,28.1,2025-04-07,1.827,5.0,2025-04-10,0.00208787,2025-04-25,A+
118054,安集转债,2025-04-07,718019,100,688019,安集科技,149.26,128.73,116.0569,161.0,38.72,2025-04-03,6.433,8.305,2025-04-09,0.00398045,2025-04-25,AA-
123255,鼎龙转债,2025-04-02,370054,100,300054,鼎龙股份,28.84,28.58,100.9097,142.628,41.34,2025-04-01,0.9698,9.1,2025-04-07,0.0032754809,2025-04-23,AA
127108,太能转债,2025-03-28,070591,100,000591,太阳能,4.49,5.61,80.0357,119.086,48.85,2025-03-27,0.7529,29.5,2025-04-01,0.0135084085,2025-04-16,AA+
123254,亿纬转债,2025-03-24,370014,100,300014,亿纬锂能,45.86,50.89,90.0963,127.645,41.64,2025-03-21,2.4523,50.0,2025-03-26,0.0396868603,2025-04-11,AA+
113693,志邦转债,2025-03-18,754801,100,603801,志邦家居,10.1,11.52,87.6736,125.979,43.67,2025-03-17,1.534,6.7,2025-03-20,0.00171145,2025-04-08,AA
118053,正帆转债,2025-03-18,718596,100,688596,正帆科技,35.22,38.54,91.3856,135.089,47.82,2025-03-17,3.564,10.41095,2025-03-20,0.00392766,2025-04-03,AA
118052,浩瀚转债,2025-03-13,718292,100,688292,浩瀚深度,22.06,24.26,90.9316,134.087,47.46,2025-03-12,2.262,3.5429,2025-03-17,0.0012572,2025-04-07,A+
123253,永贵转债,2025-03-13,370351,100,300351,永贵电器,17.6,18.23,96.5442,130.801,35.54,2025-03-12,2.5265,9.8,2025-03-17,0.0031973118,2025-03-28,AA-
113070,渝水转债,2025-01-09,783158,100,601158,重庆水务,4.75,4.85,97.9381,125.437,28.07,2025-01-08,0.395,19.0,2025-01-13,0.01357232,2025-02-13,AAA
123252,银邦转债,2025-01-07,370337,100,300337,银邦股份,11.16,12.51,89.2086,126.251,41.52,2025-01-06,0.955,7.85,2025-01-09,0.0051516331,2025-01-24,AA-
110098,南药转债,2024-12-25,733713,100,600713,南京医药,5.27,5.12,102.9297,129.844,26.16,2024-12-24,0.825,10.81491,2024-12-27,0.00494045,2025-01-20,AA+
123251,华医转债,2024-12-23,371235,100,301235,华康洁净,32.9,22.43,146.6785,153.497,4.7,2024-12-20,7.1183,7.5,2024-12-25,0.0027141027,2025-01-09,A+
118051,皓元转债,2024-11-28,718131,100,688131,皓元医药,52.79,40.55,130.185,152.948,17.49,2024-11-27,3.898,8.2235,2024-12-02,0.00341,2024-12-19,AA-
127107,领益转债,2024-11-18,072600,100,002600,领益智造,10.01,9.13,109.6386,141.349,28.88,2024-11-15,0.3049,21.374181,2024-11-20,0.005752783,2024-12-06,AA+
