债券代码,债券简称,申购日期,申购代码,正股代码,正股简称,中签率,上市时间,信用评级,上市委通过日期,同意注册日期,上市委-申购,注册-申购,同意注册日期_开盘价,同意注册日期_收盘价,上市委通过日期_开盘价,上市委通过日期_收盘价,申购日期_开盘价,申购日期_收盘价,申购日前一交易日_开盘价,申购日前一交易日_收盘价,上市时间_开盘价,上市时间_收盘价,同意注册日期_上证开盘价,同意注册日期_上证收盘价,上市委通过日期_上证开盘价,上市委通过日期_上证收盘价,申购日期_上证开盘价,申购日期_上证收盘价,上市时间_上证开盘价,上市时间_上证收盘价
118058,微导转债,2025-08-06,718147,688147,微导纳米,0.0014953,,AA,2025-05-24,2025-07-15,74,22,30.81,31.0,29.76,29.56,33.7,34.24,34.07,34.72,,,12.99,12.73,11.44,11.42,12.47,12.46,,
127110,广核转债,2025-07-09,73816,3816,中国广核,0.0186422035,2025-07-25,AAA,2025-02-14,2025-03-20,145,111,3.6,3.57,3.6,3.59,3.7,3.7,3.73,3.72,3.8,3.75,11.51,11.49,11.49,11.55,12.66,12.84,12.33,12.35
111023,利柏转债,2025-07-03,713167,605167,利柏特,0.00173477,2025-07-22,AA,2025-04-22,2025-06-12,72,21,10.7,11.4,8.83,8.82,11.75,11.83,12.38,12.3,11.4,11.29,11.56,11.68,11.02,11.04,12.33,12.35,12.6,12.49
113696,伯25转债,2025-07-01,754596,603596,伯特利,0.00894996,2025-07-28,AA,2025-02-25,2025-04-04,126,88,54.93,53.21,57.87,60.65,51.9,50.66,51.59,52.69,50.0,49.7,11.0,10.7,11.56,11.47,12.06,12.3,12.35,12.46
118057,甬矽转债,2025-06-26,718362,688362,甬矽电子,0.004213,2025-07-16,A+,2025-04-08,2025-05-27,79,30,26.0,25.68,24.87,24.78,28.91,28.43,28.98,29.46,28.09,27.98,11.45,11.49,10.68,10.82,12.05,12.41,12.73,12.64
113695,华辰转债,2025-06-20,754097,603097,江苏华辰,0.0003492,2025-07-10,A+,2025-03-19,2025-05-14,93,37,22.82,22.48,23.46,23.71,21.5,21.64,23.77,23.74,22.35,21.98,11.29,11.43,11.48,11.52,11.7,11.84,12.82,13.18
111022,锡振转债,2025-06-18,713319,605319,无锡振华,0.00091285,2025-07-14,AA-,2025-03-27,2025-05-17,83,32,32.49,33.26,31.74,31.9,31.0,32.08,33.9,32.55,31.9,31.66,11.4,11.37,11.37,11.39,11.78,11.77,12.87,12.98
123257,安克转债,2025-06-16,370866,300866,安克创新,0.0026475779,2025-07-04,AA+,2024-11-15,2025-02-06,213,130,110.59,110.12,85.08,81.62,110.01,106.6,110.98,111.28,117.49,115.15,11.35,11.36,11.5,11.44,11.57,11.79,12.35,12.6
127109,电化转债,2025-06-16,72125,2125,湘潭电化,0.0015321157,2025-07-04,AA,2025-03-10,2025-04-30,98,47,9.79,9.67,10.97,10.85,10.09,10.17,10.22,10.37,14.11,13.59,10.96,10.91,11.66,11.59,11.57,11.79,12.35,12.6
118056,路维转债,2025-06-11,718401,688401,路维光电,0.00165975,2025-07-10,AA-,2025-03-22,2025-05-09,81,33,34.69,33.29,30.97,30.83,31.18,31.3,32.75,31.9,33.72,33.8,11.07,11.15,11.41,11.38,11.82,11.85,12.82,13.18
