债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间,信用评级
123258,胜蓝转02,2025-08-28,370843,100,300843,胜蓝股份,53.25,54.56,97.599,100.0,2.46,2025-08-27,2.7488,4.5,2025-09-01,,,AA-
127111,金威转债,2025-08-20,072626,100,002626,金达威,19.5,19.59,99.4895,100.0,0.51,2025-08-19,2.1189,12.923948,2025-08-22,0.0024488149,,AA
113698,凯众转债,2025-08-15,754037,100,603037,凯众股份,12.95,12.7,101.8898,100.0,-1.85,2025-08-14,1.15,3.08447,2025-08-19,0.00087715,,AA-
118058,微导转债,2025-08-06,718147,100,688147,微导纳米,39.05,33.57,116.2645,100.0,-13.99,2025-08-05,2.557,11.7,2025-08-08,0.0014953,2025-08-27,AA
127110,广核转债,2025-07-09,073816,100,003816,中国广核,3.8,3.67,103.2698,142.052,37.53,2025-07-08,0.1245,49.0,2025-07-11,0.0186422035,2025-07-25,AAA
111023,利柏转债,2025-07-03,713167,100,605167,利柏特,11.06,12.14,91.1038,142.699,56.63,2025-07-02,1.689,7.5,2025-07-07,0.00173477,2025-07-22,AA
113696,伯25转债,2025-07-01,754596,100,603596,伯特利,54.16,52.42,103.3384,148.78,43.97,2025-06-30,4.633,28.02,2025-07-03,0.00894996,2025-07-28,AA
118057,甬矽转债,2025-06-26,718362,100,688362,甬矽电子,37.61,28.39,132.6523,192.5,45.08,2025-06-25,2.879,11.65,2025-06-30,0.004213,2025-07-16,A+
113695,华辰转债,2025-06-20,754097,100,603097,江苏华辰,22.79,23.53,96.8551,154.348,59.34,2025-06-19,2.797,4.6,2025-06-24,0.0003492,2025-07-10,A+
111022,锡振转债,2025-06-18,713319,100,605319,无锡振华,34.55,31.98,108.0363,164.406,52.18,2025-06-17,2.079,5.2,2025-06-20,0.00091285,2025-07-14,AA-
123257,安克转债,2025-06-16,370866,100,300866,安克创新,141.22,111.28,127.0489,182.707,43.94,2025-06-13,2.0785,11.0482,2025-06-18,0.0026475779,2025-07-04,AA+
127109,电化转债,2025-06-16,072125,100,002125,湘潭电化,13.76,10.1,136.2376,178.499,31.02,2025-06-13,0.7736,4.87,2025-06-18,0.0015321157,2025-07-04,AA
118056,路维转债,2025-06-11,718401,100,688401,路维光电,42.78,32.7,130.8257,180.72,38.14,2025-06-10,3.201,6.15,2025-06-13,0.00165975,2025-07-10,AA-
123256,恒帅转债,2025-05-29,370969,100,300969,恒帅股份,89.63,62.55,143.2934,209.769,46.39,2025-05-28,2.9249,3.2759,2025-06-03,0.0003825294,2025-06-17,A+
118055,伟测转债,2025-04-09,718372,100,688372,伟测科技,79.36,62.68,126.6114,174.802,38.09,2025-04-08,10.322,11.75,2025-04-11,0.00471648,2025-04-30,AA
113694,清源转债,2025-04-08,754628,100,603628,清源股份,13.62,12.86,105.832,138.678,31.04,2025-04-07,1.827,5.0,2025-04-10,0.00208787,2025-04-25,A+
118054,安集转债,2025-04-07,718019,100,688019,安集科技,165.47,128.73,128.2918,173.919,35.59,2025-04-03,6.433,8.305,2025-04-09,0.00398045,2025-04-25,AA-
123255,鼎龙转债,2025-04-02,370054,100,300054,鼎龙股份,31.41,28.58,109.867,161.18,46.7,2025-04-01,0.9698,9.1,2025-04-07,0.0032754809,2025-04-23,AA
127108,太能转债,2025-03-28,070591,100,000591,太阳能,4.67,5.61,83.2442,122.905,47.7,2025-03-27,0.7529,29.5,2025-04-01,0.0135084085,2025-04-16,AA+
123254,亿纬转债,2025-03-24,370014,100,300014,亿纬锂能,49.34,50.89,96.9739,135.28,39.55,2025-03-21,2.4523,50.0,2025-03-26,0.0396868603,2025-04-11,AA+
113693,志邦转债,2025-03-18,754801,100,603801,志邦家居,10.33,11.52,89.6701,130.026,45.0,2025-03-17,1.534,6.7,2025-03-20,0.00171145,2025-04-08,AA
118053,正帆转债,2025-03-18,718596,100,688596,正帆科技,38.91,38.54,100.96,147.366,45.96,2025-03-17,3.564,10.41095,2025-03-20,0.00392766,2025-04-03,AA
118052,浩瀚转债,2025-03-13,718292,100,688292,浩瀚深度,25.06,24.26,103.2976,145.994,41.33,2025-03-12,2.262,3.5429,2025-03-17,0.0012572,2025-04-07,A+
123253,永贵转债,2025-03-13,370351,100,300351,永贵电器,18.72,18.23,102.6879,143.081,39.34,2025-03-12,2.5265,9.8,2025-03-17,0.0031973118,2025-03-28,AA-
113070,渝水转债,2025-01-09,783158,100,601158,重庆水务,4.76,4.85,98.3505,127.728,29.84,2025-01-08,0.395,19.0,2025-01-13,0.01357232,2025-02-13,AAA
