date,open,high,low,close,volume
2023-01-03,3864.8356,3893.9904,3831.2450,3887.8992,11505187500
2023-01-04,3886.2504,3905.9032,3873.6549,3892.9477,11066074300
2023-01-05,3913.4928,3974.8750,3912.2600,3968.5782,11650239500
2023-01-06,3969.5493,4000.4143,3966.4696,3980.8888,11095303800
2023-01-09,3998.5278,4023.0898,3990.7073,4013.1196,11705442500
2023-01-10,4014.7125,4030.4574,4002.2297,4017.4737,10175114100
2023-01-11,4019.8844,4043.3991,4008.0153,4010.0309,9999788900
2023-01-12,4021.7547,4030.2876,4003.5079,4017.8692,9055262700
2023-01-13,4032.2906,4074.3772,4027.8864,4074.3772,9587189600
2023-01-16,4077.8793,4177.1035,4076.6394,4137.9643,15139545500
2023-01-17,4138.8433,4148.5838,4118.1570,4137.2422,9547904000
2023-01-18,4140.1019,4151.4577,4125.7687,4130.3143,8420064500
2023-01-19,4125.5772,4156.0077,4105.9797,4156.0077,9460839800
2023-01-20,4166.8444,4189.8310,4161.6698,4181.5267,12355380900
2023-01-30,4267.6248,4268.1522,4197.8596,4201.3450,16460706400
2023-01-31,4200.5813,4212.7347,4153.0484,4156.8578,12455083500
2023-02-01,4170.1322,4195.9332,4137.7659,4195.9332,14100895400
2023-02-02,4207.4123,4207.4123,4170.5565,4181.1493,13382373600
2023-02-03,4162.0258,4162.0258,4103.1654,4141.6319,11704122100
2023-02-06,4103.8307,4105.9445,4065.2224,4086.8779,11019271700
2023-02-07,4098.3117,4107.3438,4077.9623,4094.2335,9136007200
2023-02-08,4099.8573,4111.4745,4072.6474,4076.1411,8478609900
2023-02-09,4067.5631,4130.8565,4064.7489,4130.8565,10228996100
2023-02-10,4124.0986,4125.2893,4092.3472,4106.3097,9671673300
2023-02-13,4098.8795,4146.4500,4092.2729,4143.5740,12889257700
2023-02-14,4151.2470,4152.0487,4125.2583,4145.2902,10249989000
2023-02-15,4146.8547,4153.7159,4115.9671,4123.6893,12166450800
2023-02-16,4125.4087,4167.9003,4068.8591,4093.4876,15931058500
2023-02-17,4086.2237,4104.6398,4032.9285,4034.5070,11614258900
2023-02-20,4039.9623,4134.8623,4035.4762,4133.4896,16179448100
2023-02-21,4130.0632,4151.7994,4116.2716,4144.3536,14577617300
2023-02-22,4118.9669,4134.8759,4101.8596,4106.9506,10429029500
2023-02-23,4106.2136,4132.3896,4088.2073,4103.6463,10356490600
2023-02-24,4100.9897,4102.6094,4048.2374,4061.0457,10098942500
2023-02-27,4040.4571,4067.0296,4034.5237,4043.8444,9378763000
2023-02-28,4058.1298,4074.2639,4026.4476,4069.4587,11032359100
2023-03-01,4068.7331,4135.4812,4061.2167,4126.9415,15601579400
2023-03-02,4119.9919,4137.2525,4113.8264,4117.7377,14821763700
2023-03-03,4126.0183,4135.2116,4100.3827,4130.5513,16033174100
