数据日期,市价总值-上海,市价总值-深圳,成交金额-上海,成交金额-深圳
2008-01-01,225354.97,52499.85,30759.73,15770.72
2008-02-01,225846.35,55786.67,14230.33,6881.35
2008-03-01,181350.15,45438.99,19418.53,9113.89
2008-04-01,194727.31,45516.94,18648.58,8252.82
2008-05-01,181247.11,43619.59,19792.87,9674.0
2008-06-01,144508.33,33526.77,11322.15,5540.49
2008-07-01,146667.15,35217.45,15315.04,7945.24
2008-08-01,127029.73,28405.56,7894.27,3914.54
2008-09-01,121615.05,26548.93,8116.64,3425.05
2008-10-01,91719.66,20348.14,7324.39,3071.59
2008-11-01,99152.56,23331.68,11882.06,5230.23
2008-12-01,97251.91,24114.53,15725.37,7862.78
2009-01-01,106478.69,26616.8,9763.3,5153.5
2009-02-01,111624.52,28764.68,26363.9,14026.1
2009-03-01,127267.07,34207.17,25066.13,12488.62
2009-04-01,132959.05,36294.26,30107.17,15632.95
2009-05-01,141337.38,38449.26,24211.02,12864.78
2009-06-01,159107.69127578,42340.37,30859.29405731,15319.54
2009-07-01,186119.25484451,49615.549,47334.81507536,23561.32
2009-08-01,146363.14917487,40732.247,33367.09299158,17170.44
2009-09-01,153562.13542291,43339.555,28334.70414505,15863.51
2009-10-01,165927.44366454,49964.568,20003.5823572,12368.61
2009-11-01,178652.42606219,57250.614,39150.94768278,24860.42
2009-12-01,184655.22570837,59283.893,31949.94720483,20165.08
2010-01-01,169410.78594739,56950.832,29105.28958427,18795.9873364
2010-02-01,174852.63138063,61744.368,14307.34703852,10011.26013415
2010-03-01,179578.57240765,65374.007,25294.32741553,18820.59426492
2010-04-01,165860.99,62044.52,28788.1,23141.3
2010-05-01,149971.17105674,59668.26,18658.0,14189.3
2010-06-01,139065.89,56072.838,12969.7,12338.2
2010-07-01,161367.0,64555.052,17526.12,15147.34
2010-08-01,163401.11,71720.248,24773.56,22597.31
2010-09-01,165191.88,73548.481,23533.28,20646.77
2010-10-01,187015.4194,83118.167,36891.2823,25946.5809
2010-11-01,178723.8301,85591.749,45922.1196,36648.0093
2010-12-01,179007.2382,86415.354,26542.8821,23038.8798
