,bond_id,bond_nm,price,stock_id,stock_nm,margin_flg,btype,orig_iss_amt,curr_iss_amt,convert_dt,convert_price,next_put_dt,redeem_dt,force_redeem,redeem_flag,redeem_price,redeem_price_ratio,real_force_redeem_price,redeem_remain_days,redeem_real_days,redeem_total_days,recount_dt,redeem_count_days,redeem_tc,sprice,delist_dt,maturity_dt,upper_price_adj,redeem_icon,redeem_orders,at_maturity,redeem_count,after_next_put_dt,force_redeem_price
0,123244,松原转债,141.831,300893,松原安全,R,C,4.100,0.627,2025-02-07,20.32,2028-08-01,2025-09-24,"最后交易日：2025年9月24日
最后转股日：2025年9月29日
赎回价：100.07元/张",Y,115.00,130%,100.070,0,24,30,,15,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,28.86,2025-09-24,2030-08-01,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>24/15 | 30",0,26.416
1,113690,豪24转债,252.344,603809,豪能股份,R,C,5.500,2.770,2025-04-29,6.33,2028-10-23,2025-09-29,"最后交易日：2025年9月29日
最后转股日：2025年10月10日
赎回价：100.1945元/张",Y,113.00,130%,100.195,0,20,30,2025-08-25,15,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,15.97,2025-09-29,2030-10-23,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>20/15 | 30",0,8.229
2,123147,中辰转债,140.467,300933,中辰股份,R,C,5.705,1.023,2022-12-07,6.43,2026-05-29,2025-10-14,"最后交易日：2025年10月14日
最后转股日：2025年10月17日
赎回价：100.58元/张",Y,115.00,130%,100.580,0,24,30,,15,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,9.00,2025-10-14,2028-05-31,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>24/15 | 30",0,8.359
3,128081,海亮转债,133.501,002203,海亮股份,R,C,31.500,2.068,2020-05-27,9.20,2023-11-21,2025-09-23,"最后交易日：2025年9月23日
最后转股日：2025年9月26日
赎回价：101.710元/张",Y,110.00,130%,101.710,0,26,30,,15,如果公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%(含 130%),12.30,2025-09-23,2025-11-21,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>26/15 | 30",1,11.960
4,127107,领益转债,165.870,002600,领益智造,R,C,21.374,8.575,2025-05-22,9.13,2028-11-18,2025-10-09,"最后交易日：2025年10月9日
最后转股日；2025年10月14日
赎回价：100.181元/张",Y,108.00,130%,100.181,0,24,30,,15,如果公司股票连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,15.22,2025-10-09,2030-11-18,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>24/15 | 30",0,11.869
5,113641,华友转债,152.987,603799,华友钴业,R,C,76.000,4.757,2022-09-02,34.43,2026-02-23,2025-09-23,"最后交易日：2025年9月23日
最后转股日：2025年9月26日
赎回价：100.8918元/张",Y,108.00,130%,100.892,0,26,30,,15,公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,52.84,2025-09-23,2028-02-24,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>26/15 | 30",0,44.759
6,127097,三羊转债,138.052,001317,三羊马,,C,2.100,1.640,2024-05-06,37.43,2027-10-25,2025-10-13,"最后交易日：2025年10月13日
最后转股日：2025年10月16日
赎回价：100.49元/张",Y,113.00,130%,100.490,0,16,30,,15,如果公司 A 股股票连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,51.64,2025-10-13,2029-10-26,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>16/15 | 30",0,48.659
7,123161,强联转债,177.990,300850,新强联,R,C,12.100,1.282,2023-04-17,21.80,2026-10-12,2025-09-25,"最后交易日：2025年9月25日
最后转股日：2025年9月30日
赎回价：100.99元/张",Y,112.00,130%,100.990,0,27,30,2025-08-14,15,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,38.81,2025-09-25,2028-10-11,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>27/15 | 30",0,28.340
8,123089,九洲转2,123.678,300040,九洲集团,,C,5.000,1.138,2021-06-25,5.44,2024-12-20,2025-10-09,"最后交易日：2025年10月9日
最后转股日：2025年10月14日
赎回价：102.04元/张",Y,115.00,130%,102.040,0,17,30,2025-08-25,15,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),6.73,2025-10-09,2026-12-21,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>17/15 | 30",1,7.072
9,123200,海泰转债,148.502,301022,海泰科,R,C,3.966,0.669,2024-01-03,26.00,2027-06-28,2025-09-24,"最后交易日：2025年9月24日
最后转股日：2025年9月29日
赎回价：100.260元/张",Y,118.00,130%,100.260,0,30,30,,15,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,38.74,2025-09-24,2029-06-27,0.000,R,600,0,"已满足强赎条件<span style=""color:blue;"">!<br>30/15 | 30",0,33.800
