债券代码,债券简称,申购日期,申购代码,正股代码,正股简称,中签率,上市时间,信用评级,上市委通过日期,同意注册日期,上市委-申购,注册-申购,同意注册日期_开盘价,同意注册日期_收盘价,上市委通过日期_开盘价,上市委通过日期_收盘价,申购日期_开盘价,申购日期_收盘价,上市时间_开盘价,上市时间_收盘价
118058,微导转债,2025-08-06,718147,688147,微导纳米,0.0014953,,AA,2025-05-24,2025-07-15,74,22,30.810,31.000,29.800,29.600,33.700,34.240,,
127110,广核转债,2025-07-09,73816,3816,中国广核,0.0186422035,2025-07-25,AAA,2025-02-14,2025-03-20,145,111,3.690,3.660,3.690,3.680,3.700,3.700,3.800,3.750
111023,利柏转债,2025-07-03,713167,605167,利柏特,0.00173477,2025-07-22,AA,2025-04-22,2025-06-12,72,21,10.700,11.400,8.940,8.930,11.750,11.830,11.400,11.290
113696,伯25转债,2025-07-01,754596,603596,伯特利,0.00894996,2025-07-28,AA,2025-02-25,2025-04-04,126,88,55.280,53.560,58.220,61.000,51.900,50.660,50.000,49.700
118057,甬矽转债,2025-06-26,718362,688362,甬矽电子,0.004213,2025-07-16,A+,2025-04-08,2025-05-27,79,30,26.000,25.680,24.870,24.780,28.910,28.430,28.090,27.980
113695,华辰转债,2025-06-20,754097,603097,江苏华辰,0.0003492,2025-07-10,A+,2025-03-19,2025-05-14,93,37,23.020,22.680,23.660,23.910,21.500,21.640,22.350,21.980
111022,锡振转债,2025-06-18,713319,605319,无锡振华,0.00091285,2025-07-14,AA-,2025-03-27,2025-05-17,83,32,32.880,33.650,32.130,32.290,31.000,32.080,31.900,31.660
123257,安克转债,2025-06-16,370866,300866,安克创新,0.0026475779,2025-07-04,AA+,2024-11-15,2025-02-06,213,130,112.090,111.620,86.580,83.120,110.010,106.600,117.490,115.150
127109,电化转债,2025-06-16,72125,2125,湘潭电化,0.0015321157,2025-07-04,AA,2025-03-10,2025-04-30,98,47,9.950,9.830,11.130,11.010,10.090,10.170,14.110,13.590
118056,路维转债,2025-06-11,718401,688401,路维光电,0.00165975,2025-07-10,AA-,2025-03-22,2025-05-09,81,33,34.990,33.590,31.270,31.130,31.180,31.300,33.720,33.800
123256,恒帅转债,2025-05-29,370969,300969,恒帅股份,0.0003825294,2025-06-17,A+,2024-12-02,2025-02-10,178,108,103.800,103.490,85.180,88.790,58.700,59.790,58.140,58.940
118055,伟测转债,2025-04-09,718372,688372,伟测科技,0.00471648,2025-04-30,AA,2024-12-10,2025-02-06,120,62,73.000,76.360,62.400,61.280,69.990,73.420,76.330,78.940
113694,清源转债,2025-04-08,754628,603628,清源股份,0.00208787,2025-04-25,A+,2024-11-22,2025-02-06,137,61,12.350,12.620,14.350,13.770,10.800,10.950,11.240,11.280
118054,安集转债,2025-04-07,718019,688019,安集科技,0.00398045,2025-04-25,AA-,2024-09-13,2024-11-22,206,136,157.000,149.280,107.530,103.800,146.110,152.000,170.800,166.510
123255,鼎龙转债,2025-04-02,370054,300054,鼎龙股份,0.0032754809,2025-04-23,AA,2025-01-24,2025-03-19,68,14,28.500,28.130,26.650,26.440,28.790,28.460,30.410,30.270
