日期,="沪深300.收盘点位",="宏观.大陆-居民消费价格指数(CPI)(右1)",="宏观.大陆-工业品出厂价格指数(PPI)(右1)",="CPI-PPI(右1)"
2025-08-26,=4452.5900,,,
2025-08-22,=4378,,,
2025-08-15,=4202.3500,,,
2025-08-08,=4104.9700,,,
2025-08-01,=4054.9300,,,
2025-07-31,,=0,=-0.0360,=0.0360
2025-07-25,=4127.1600,,,
2025-07-18,=4058.5500,,,
2025-07-11,=4014.8100,,,
2025-07-04,=3982.2000,,,
2025-06-30,,=0.0010,=-0.0360,=0.0370
2025-06-27,=3921.7600,,,
2025-06-20,=3846.6400,,,
2025-06-13,=3864.1800,,,
2025-06-06,=3873.9800,,,
2025-05-31,,=-0.0010,=-0.0330,=0.0320
2025-05-30,=3840.2300,,,
2025-05-23,=3882.2700,,,
2025-05-16,=3889.0900,,,
2025-05-09,=3846.1600,,,
2025-04-30,=3770.5700,=-0.0010,=-0.0270,=0.0260
2025-04-25,=3786.9900,,,
2025-04-18,=3772.5200,,,
2025-04-11,=3750.5200,,,
2025-04-03,=3861.5000,,,
2025-03-31,,=-0.0010,=-0.0250,=0.0240
2025-03-28,=3915.1700,,,
2025-03-21,=3914.7000,,,
2025-03-14,=4006.5600,,,
2025-03-07,=3944.0100,,,
2025-02-28,=3890.0500,=-0.0070,=-0.0220,=0.0150
2025-02-21,=3978.4400,,,
2025-02-14,=3939.0100,,,
2025-02-07,=3892.7000,,,
2025-01-31,,=0.0050,=-0.0230,=0.0280
2025-01-27,=3817.0800,,,
2025-01-24,=3832.8600,,,
2025-01-17,=3812.3400,,,
2025-01-10,=3732.4800,,,
2025-01-03,=3775.1600,,,
2024-12-31,,=0.0010,=-0.0230,=0.0240
2024-12-27,=3981.0300,,,
2024-12-20,=3927.7400,,,
2024-12-13,=3933.1800,,,
2024-12-06,=3973.1400,,,
2024-11-30,,=0.0020,=-0.0250,=0.0270
2024-11-29,=3916.5800,,,
2024-11-22,=3865.7000,,,
2024-11-15,=3968.8300,,,
2024-11-08,=4104.0500,,,
2024-11-01,=3890.0200,,,
2024-10-31,,=0.0030,=-0.0290,=0.0320
2024-10-25,=3956.4200,,,
2024-10-18,=3925.2300,,,
2024-10-11,=3887.1700,,,
2024-09-30,=4017.8500,=0.0040,=-0.0280,=0.0320
2024-09-27,=3703.6800,,,
2024-09-20,=3201.0500,,,
2024-09-13,=3159.2500,,,
2024-09-06,=3231.3500,,,
2024-08-31,,=0.0060,=-0.0180,=0.0240
2024-08-30,=3321.4300,,,
2024-08-23,=3327.1900,,,
2024-08-16,=3345.6300,,,
2024-08-09,=3331.6300,,,
2024-08-02,=3384.3900,,,
2024-07-31,,=0.0050,=-0.0080,=0.0130
2024-07-26,=3409.2900,,,
2024-07-19,=3539.0200,,,
2024-07-12,=3472.4000,,,
2024-07-05,=3431.0600,,,
2024-06-30,,=0.0020,=-0.0080,=0.0100
2024-06-28,=3461.6600,,,
2024-06-21,=3495.6200,,,
2024-06-14,=3541.5300,,,
2024-06-07,=3574.1100,,,
2024-05-31,=3579.9200,=0.0030,=-0.0140,=0.0170
2024-05-24,=3601.4800,,,
2024-05-17,=3677.9700,,,
2024-05-10,=3666.2800,,,
2024-04-30,=3604.3900,=0.0030,=-0.0250,=0.0280
2024-04-26,=3584.2700,,,
2024-04-19,=3541.6600,,,
2024-04-12,=3475.8400,,,
2024-04-03,=3567.8000,,,
2024-03-31,,=0.0010,=-0.0280,=0.0290
2024-03-29,=3537.4800,,,
2024-03-22,=3545,,,
2024-03-15,=3569.9900,,,
2024-03-08,=3544.9100,,,
2024-03-01,=3537.8000,,,
2024-02-29,,=0.0070,=-0.0270,=0.0340
2024-02-23,=3489.7400,,,
2024-02-08,=3364.9300,,,
2024-02-02,=3179.6300,,,
2024-01-31,,=-0.0080,=-0.0250,=0.0170
2024-01-26,=3333.8200,,,
2024-01-19,=3269.7800,,,
2024-01-12,=3284.1700,,,
2024-01-05,=3329.1100,,,
2023-12-31,,=-0.0030,=-0.0270,=0.0240
2023-12-29,=3431.1100,,,
2023-12-22,=3337.2300,,,
2023-12-15,=3341.5500,,,
2023-12-08,=3399.4600,,,
2023-12-01,=3482.8800,,,
2023-11-30,,=-0.0050,=-0.0300,=0.0250
2023-11-24,=3538.0100,,,
2023-11-17,=3568.0700,,,
2023-11-10,=3586.4900,,,
2023-11-03,=3584.1400,,,
2023-10-31,,=-0.0020,=-0.0260,=0.0240
2023-10-27,=3562.3900,,,
2023-10-20,=3510.5900,,,
2023-10-13,=3663.4100,,,
2023-09-30,,=0,=-0.0250,=0.0250
2023-09-28,=3689.5200,,,
2023-09-22,=3738.9300,,,
2023-09-15,=3708.7800,,,
2023-09-08,=3739.9900,,,
2023-09-01,=3791.4900,,,
2023-08-31,,=0.0010,=-0.0300,=0.0310
2023-08-25,=3709.1500,,,
2023-08-18,=3784,,,
2023-08-11,=3884.2500,,,
2023-08-04,=4020.5800,,,
2023-07-31,,=-0.0030,=-0.0440,=0.0410
2023-07-28,=3992.7400,,,
2023-07-21,=3821.9100,,,
2023-07-14,=3899.1000,,,
2023-07-07,=3825.7000,,,
2023-06-30,=3842.4500,=0,=-0.0540,=0.0540
2023-06-21,=3864.0300,,,
2023-06-16,=3963.3500,,,
2023-06-09,=3836.7000,,,
2023-06-02,=3861.8300,,,
2023-05-31,,=0.0020,=-0.0460,=0.0480
2023-05-26,=3850.9500,,,
2023-05-19,=3944.5400,,,
2023-05-12,=3937.7600,,,
2023-05-05,=4016.8800,,,
2023-04-30,,=0.0010,=-0.0360,=0.0370
2023-04-28,=4029.0900,,,
2023-04-21,=4032.5700,,,
2023-04-14,=4092,,,
2023-04-07,=4123.2800,,,
2023-03-31,=4050.9300,=0.0070,=-0.0250,=0.0320
2023-03-24,=4027.0500,,,
2023-03-17,=3958.8200,,,
2023-03-10,=3967.1400,,,
2023-03-03,=4130.5500,,,
2023-02-28,,=0.0100,=-0.0140,=0.0240
2023-02-24,=4061.0500,,,
2023-02-17,=4034.5100,,,
2023-02-10,=4106.3100,,,
2023-02-03,=4141.6300,,,
2023-01-31,,=0.0210,=-0.0080,=0.0290
2023-01-20,=4181.5300,,,
2023-01-13,=4074.3800,,,
2023-01-06,=3980.8900,,,
2022-12-31,,=0.0180,=-0.0070,=0.0250
2022-12-30,=3871.6300,,,
2022-12-23,=3828.2200,,,
2022-12-16,=3954.2300,,,
2022-12-09,=3998.2400,,,
2022-12-02,=3870.9500,,,
2022-11-30,,=0.0160,=-0.0130,=0.0290
2022-11-25,=3775.7800,,,
2022-11-18,=3801.5700,,,
2022-11-11,=3788.4400,,,
2022-11-04,=3767.1700,,,
2022-10-31,,=0.0210,=-0.0130,=0.0340
2022-10-28,=3541.3300,,,
2022-10-21,=3742.8900,,,
2022-10-14,=3842.4700,,,
2022-09-30,=3804.8900,=0.0280,=0.0090,=0.0190
2022-09-23,=3856.0200,,,
2022-09-16,=3932.6800,,,
2022-09-09,=4093.7900,,,
2022-09-02,=4023.6100,,,
2022-08-31,,=0.0250,=0.0230,=0.0020
2022-08-26,=4107.5500,,,
2022-08-19,=4151.0700,,,
2022-08-12,=4191.1500,,,
2022-08-05,=4156.9100,,,
2022-07-31,,=0.0270,=0.0420,=-0.0150
2022-07-29,=4170.1000,,,
2022-07-22,=4238.2300,,,
2022-07-15,=4248.5300,,,
2022-07-08,=4428.7800,,,
2022-07-01,=4466.7200,,,
2022-06-30,,=0.0250,=0.0610,=-0.0360
2022-06-24,=4394.7700,,,
2022-06-17,=4309.0400,,,
2022-06-10,=4238.9900,,,
2022-06-02,=4089.5700,,,
2022-05-31,,=0.0210,=0.0640,=-0.0430
2022-05-27,=4001.3000,,,
2022-05-20,=4077.6000,,,
2022-05-13,=3988.6000,,,
2022-05-06,=3908.8200,,,
2022-04-30,,=0.0210,=0.0800,=-0.0590
2022-04-29,=4016.2400,,,
2022-04-22,=4013.2500,,,
2022-04-15,=4188.7500,,,
2022-04-08,=4230.7700,,,
2022-04-01,=4276.1600,,,
2022-03-31,,=0.0150,=0.0830,=-0.0680
2022-03-25,=4174.5700,,,
2022-03-18,=4265.9000,,,
2022-03-11,=4306.5200,,,
2022-03-04,=4496.4300,,,
2022-02-28,,=0.0090,=0.0880,=-0.0790
2022-02-25,=4573.4200,,,
2022-02-18,=4651.2400,,,
2022-02-11,=4601.4000,,,
2022-01-31,,=0.0090,=0.0910,=-0.0820
2022-01-28,=4563.7700,,,
2022-01-21,=4779.3100,,,
2022-01-14,=4726.7300,,,
2022-01-07,=4822.3700,,,
2021-12-31,=4940.3700,=0.0150,=0.1030,=-0.0880
2021-12-24,=4921.3400,,,
2021-12-17,=4954.7600,,,
2021-12-10,=5055.1200,,,
2021-12-03,=4901.0200,,,
2021-11-30,,=0.0230,=0.1290,=-0.1060
2021-11-26,=4860.1300,,,
2021-11-19,=4890.0600,,,
2021-11-12,=4888.3700,,,
2021-11-05,=4842.3500,,,
2021-10-31,,=0.0150,=0.1350,=-0.1200
2021-10-29,=4908.7700,,,
2021-10-22,=4959.7300,,,
2021-10-15,=4932.1100,,,
2021-10-08,=4929.9400,,,
2021-09-30,=4866.3800,=0.0070,=0.1070,=-0.1000
2021-09-24,=4849.4300,,,
2021-09-17,=4855.9400,,,
2021-09-10,=5013.5200,,,
2021-09-03,=4843.0600,,,
2021-08-31,,=0.0080,=0.0950,=-0.0870
2021-08-27,=4827.0400,,,
2021-08-20,=4769.2700,,,
2021-08-13,=4945.9800,,,
2021-08-06,=4921.5600,,,
2021-07-31,,=0.0100,=0.0900,=-0.0800
2021-07-30,=4811.1700,,,
2021-07-23,=5089.2300,,,
2021-07-16,=5094.7700,,,
2021-07-09,=5069.4400,,,
2021-07-02,=5081.1200,,,
2021-06-30,,=0.0110,=0.0880,=-0.0770
2021-06-25,=5239.9700,,,
2021-06-18,=5102.4700,,,
2021-06-11,=5224.7000,,,
2021-06-04,=5282.2800,,,
2021-05-31,,=0.0130,=0.0900,=-0.0770
2021-05-28,=5321.0900,,,
2021-05-21,=5134.1500,,,
2021-05-14,=5110.5900,,,
