日期,="沪深300.收盘点位",="宏观.中债-十年期收益率(右1)",="宏观.月度社会融资增长率 / 3.6

(右1)",="宏观.大陆 - M2增长率 / 3.28
"
2025-08-26,=4452.5900,=0.0176,,
2025-08-22,=4378,=0.0178,,
2025-08-15,=4202.3500,=0.0175,,
2025-08-08,=4104.9700,=0.0169,,
2025-08-01,=4054.9300,=0.0171,,
2025-07-31,,,=0.0250,=0.0268
2025-07-25,=4127.1600,=0.0173,,
2025-07-18,=4058.5500,=0.0167,,
2025-07-11,=4014.8100,=0.0167,,
2025-07-04,=3982.2000,=0.0164,,
2025-06-30,,,=0.0247,=0.0253
2025-06-27,=3921.7600,=0.0165,,
2025-06-20,=3846.6400,=0.0164,,
2025-06-13,=3864.1800,=0.0164,,
2025-06-06,=3873.9800,=0.0165,,
2025-05-31,,,=0.0242,=0.0242
2025-05-30,=3840.2300,=0.0167,,
2025-05-23,=3882.2700,=0.0172,,
2025-05-16,=3889.0900,=0.0168,,
2025-05-09,=3846.1600,=0.0164,,
2025-04-30,=3770.5700,=0.0162,=0.0242,=0.0243
2025-04-27,,=0.0166,,
2025-04-25,=3786.9900,,,
2025-04-18,=3772.5200,=0.0165,,
2025-04-11,=3750.5200,=0.0166,,
2025-04-03,=3861.5000,=0.0172,,
2025-03-31,,,=0.0233,=0.0213
2025-03-28,=3915.1700,=0.0181,,
2025-03-21,=3914.7000,=0.0185,,
2025-03-14,=4006.5600,=0.0183,,
2025-03-07,=3944.0100,=0.0180,,
2025-02-28,=3890.0500,=0.0172,=0.0228,=0.0213
2025-02-21,=3978.4400,=0.0172,,
2025-02-14,=3939.0100,=0.0165,,
2025-02-08,,=0.0161,,
2025-02-07,=3892.7000,,,
2025-01-31,,,=0.0222,=0.0214
2025-01-27,=3817.0800,=0.0163,,
2025-01-26,,=0.0165,,
2025-01-24,=3832.8600,,,
2025-01-17,=3812.3400,=0.0166,,
2025-01-10,=3732.4800,=0.0163,,
2025-01-03,=3775.1600,=0.0160,,
2024-12-31,,,=0.0222,=0.0222
2024-12-27,=3981.0300,=0.0169,,
2024-12-20,=3927.7400,=0.0170,,
2024-12-13,=3933.1800,=0.0178,,
2024-12-06,=3973.1400,=0.0195,,
2024-11-30,,,=0.0217,=0.0217
2024-11-29,=3916.5800,=0.0202,,
2024-11-22,=3865.7000,=0.0208,,
2024-11-15,=3968.8300,=0.0209,,
2024-11-08,=4104.0500,=0.0211,,
2024-11-01,=3890.0200,=0.0214,,
2024-10-31,,,=0.0217,=0.0227
2024-10-25,=3956.4200,=0.0215,,
2024-10-18,=3925.2300,=0.0212,,
2024-10-12,,=0.0214,,
2024-10-11,=3887.1700,,,
2024-09-30,=4017.8500,=0.0215,=0.0222,=0.0209
2024-09-29,,=0.0225,,
2024-09-27,=3703.6800,,,
2024-09-20,=3201.0500,=0.0204,,
2024-09-14,,=0.0204,,
2024-09-13,=3159.2500,,,
2024-09-06,=3231.3500,=0.0214,,
2024-08-31,,,=0.0225,=0.0192
2024-08-30,=3321.4300,=0.0217,,
2024-08-23,=3327.1900,=0.0215,,
2024-08-16,=3345.6300,=0.0220,,
2024-08-09,=3331.6300,=0.0220,,
2024-08-02,=3384.3900,=0.0213,,
2024-07-31,,,=0.0228,=0.0192
2024-07-26,=3409.2900,=0.0219,,
2024-07-19,=3539.0200,=0.0226,,
2024-07-12,=3472.4000,=0.0226,,
2024-07-05,=3431.0600,=0.0228,,
2024-06-30,,,=0.0225,=0.0189
2024-06-28,=3461.6600,=0.0221,,
2024-06-21,=3495.6200,=0.0226,,
2024-06-14,=3541.5300,=0.0226,,
