日期,="A股全指.市值(左1)(单位: 元)",="A股全指.收盘点位",="宏观.大陆-GDP(累计)(左1)(单位: 元)",="巴菲特指标 市值/GDP"
2025-08-26,=116554287976332.0313,=5715.7895,,=0.8640
2025-08-22,=115038783559178.9063,=5620.4251,,=0.8527
2025-08-15,=111152170427613.9844,=5412.0181,,=0.8239
2025-08-08,=108865681424907.2656,=5258.7829,,=0.8070
2025-08-01,=106739889245970.5313,=5161.0932,,=0.7912
2025-07-25,=107881415293134.6094,=5220.9501,,=0.7997
2025-07-18,=106148585085324.7813,=5110.4533,,=0.7868
2025-07-11,=105193621887763.0313,=5045.7649,,=0.7797
2025-07-04,=103851641250201.9063,=4969.2135,,=0.7698
2025-06-27,=102524849488109.9844,=4913.6640,,=0.7600
2025-06-20,=99894079801559.4219,=4754.8273,,=0.7405
2025-06-13,=100203350911083.5156,=4813.1973,,=0.7428
2025-06-06,=100567318893805.2656,=4834.8625,,=0.7454
2025-05-30,=99274336757075.4219,=4764.6041,,=0.7359
2025-05-23,=99353983702998.8125,=4771.6242,,=0.7365
2025-05-16,=99811187978547.2656,=4805.3678,,=0.7398
2025-05-09,=99284616564643.9375,=4773.3335,,=0.7359
2025-04-30,=97220134882105.5781,=4666.7960,,=0.7206
2025-04-25,=97570666551299.8438,=4667.5574,,=0.7232
2025-04-18,=96778625821357.9219,=4616.8376,,=0.7174
2025-04-11,=95788476742502.3750,=4603.0324,,=0.7100
2025-04-03,=99529705261926.4688,=4809.7335,,=0.7378
2025-03-28,=100117552523578.3594,=4868.7456,,=0.7421
2025-03-21,=100908404870263.7500,=4931.8154,,=0.7480
2025-03-14,=102513369881919,=5037.2472,,=0.7599
2025-03-07,=101104076205437.2656,=4964.7740,,=0.7494
2025-02-28,=99291518499213.1563,=4847.4068,,=0.7360
2025-02-21,=101597479953236,=4973.1136,,=0.7531
2025-02-14,=100007090713635.1094,=4875.0667,,=0.7413
2025-02-07,=98378291964703.8594,=4796.0356,,=0.7292
2025-01-27,=96068742464719.6094,=4632.6668,,=0.7121
2025-01-24,=96454652137299.4688,=4674.2252,,=0.7150
2025-01-17,=95905084039144.8125,=4636.0726,,=0.7109
2025-01-10,=93184288664726,=4475.6126,,=0.6907
2025-01-03,=94360196009515.3125,=4523.1235,,=0.6994
2024-12-31,,,=134908350000000,=0.7439
2024-12-27,=100360877627037.4531,=4864.1813,,=0.7754
2024-12-20,=99969429595481.2500,=4891.5437,,=0.7724
2024-12-13,=100292304504621.1406,=4947.3916,,=0.7749
2024-12-06,=100473268402316.4688,=4956.5690,,=0.7763
2024-11-29,=98174550795206.6875,=4845.8985,,=0.7585
2024-11-22,=96229366792622.1250,=4746.3702,,=0.7435
2024-11-15,=98126615524810.8125,=4847.6288,,=0.7582
2024-11-08,=101685815336596,=5049.4472,,=0.7857
2024-11-01,=95941630077805.1250,=4723.3393,,=0.7413
2024-10-25,=97017558789887.2969,=4767.4349,,=0.7496
2024-10-18,=95372172888000.6094,=4647.2965,,=0.7369
2024-10-11,=93306415903166.6250,=4514.1935,,=0.7209
2024-09-30,=96775610283316.2813,=4706.7729,,=0.7477
2024-09-27,=88902706301893.6406,=4293.1102,,=0.6869
2024-09-20,=78510372350907.9688,=3727.8114,,=0.6066
2024-09-13,=77469057212541.1875,=3681.4386,,=0.5986
2024-09-06,=79108795878353.4688,=3758.1840,,=0.6112
2024-08-30,=81385335326204.5469,=3854.7444,,=0.6288
2024-08-23,=81157542310681.1875,=3806.9257,,=0.6271
2024-08-16,=82177164585249.8125,=3886.6404,,=0.6349
2024-08-09,=81703760456106.4531,=3888.7752,,=0.6313
2024-08-02,=83037327867122.1094,=3956.1153,,=0.6416
2024-07-26,=82612144161245.3906,=3927.6244,,=0.6383
2024-07-19,=85185109311366.6406,=4042.7301,,=0.6582
2024-07-12,=85013969168400.8281,=4036.8368,,=0.6568
2024-07-05,=84317622189386.2500,=3989.4446,,=0.6515
2024-06-28,=84958585587060.5625,=4039.9675,,=0.6564
2024-06-21,=85903433311055.9063,=4119.1720,,=0.6637
2024-06-14,=86651973112399.1406,=4188.7824,,=0.6695
2024-06-07,=86838638203683.0469,=4192.8244,,=0.6709
2024-05-31,=88194119497147.1875,=4288.1103,,=0.6814
2024-05-24,=88236382065576.9688,=4302.1328,,=0.6817
2024-05-17,=90259718376212.3281,=4424.8129,,=0.6974
2024-05-10,=90358808690021.1250,=4425.0561,,=0.6981
2024-04-30,=89115273477505.0938,=4353.8816,,=0.6885
2024-04-26,=88445788865563.6250,=4305.3487,,=0.6834
2024-04-19,=87475050573996.4688,=4226.2189,,=0.6759
2024-04-12,=86727501869679.5625,=4235.3772,,=0.6701
2024-04-03,=88713259625035,=4353.7389,,=0.6854
2024-03-29,=87810284781211.9219,=4310.6697,,=0.6785
2024-03-22,=88390474653473.4844,=4370.8471,,=0.6829
2024-03-15,=88321376985154.6719,=4372.0249,,=0.6824
2024-03-08,=87590961102317.6875,=4285.6193,,=0.6768
2024-03-01,=86996583650086.8594,=4286.5038,,=0.6722
2024-02-23,=85794477742162.2969,=4187.6097,,=0.6629
2024-02-08,=81509287325548.8750,=3985.3963,,=0.6298
2024-02-02,=77797652340190.0938,=3765.6602,,=0.6011
2024-01-26,=84036112348315.1406,=4142.7269,,=0.6493
2024-01-19,=82519366345441.4688,=4117.7214,,=0.6376
2024-01-12,=84342671898846.9219,=4230.0851,,=0.6517
2024-01-05,=85745965472141.8750,=4292.7876,,=0.6625
2023-12-31,,,=129427170000000,=0.6766
2023-12-29,=87564244970917.4531,=4421.9569,,=0.7096
2023-12-22,=85421752037284.8438,=4310.3902,,=0.6922
2023-12-15,=86550634748496.5313,=4390.0106,,=0.7014
2023-12-08,=86385430779055.4844,=4433.6740,,=0.7000
2023-12-01,=88055437338906.1250,=4531.1431,,=0.7136
2023-11-24,=88366879524865.1719,=4558.1807,,=0.7161
2023-11-17,=88895759460111.5313,=4602.6081,,=0.7204
2023-11-10,=88334188081591.6094,=4567.8864,,=0.7158
2023-11-03,=87791390470262.2813,=4523.6681,,=0.7114
2023-10-27,=87351318662596.4219,=4490.0996,,=0.7079
2023-10-20,=86140888623172.0469,=4402.6931,,=0.6980
2023-10-13,=89555572309183.9531,=4600.1303,,=0.7257
2023-09-28,=89783825481552.2969,=4621.4108,,=0.7276
2023-09-22,=90291936681870.8281,=4639.8568,,=0.7317
2023-09-15,=89981884070914.9844,=4625.1348,,=0.7292
2023-09-08,=90216032011355.3438,=4654.7461,,=0.7311
2023-09-01,=90729822036853.6719,=4690.2923,,=0.7352
2023-08-25,=88309723030367.4531,=4550.0167,,=0.7156
2023-08-18,=90475782305353.8125,=4683.6868,,=0.7332
2023-08-11,=92323544009952.6875,=4798.5827,,=0.7481
2023-08-04,=95207723065735.5625,=4967.3118,,=0.7715
2023-07-28,=94653297440796.7031,=4924.5186,,=0.7670
2023-07-21,=91993103397050.5781,=4791.5230,,=0.7455
2023-07-14,=94086464419337.1250,=4889.7442,,=0.7624
2023-07-07,=92947795776872.7813,=4831.1695,,=0.7532
2023-06-30,=93277032476975.1875,=4859.8924,,=0.7559
2023-06-21,=93075429512259.4375,=4853.0233,,=0.7542
2023-06-16,=95270093394002.8750,=4965.4835,,=0.7720
2023-06-09,=92241489595869.2344,=4827.0025,,=0.7475
2023-06-02,=92542336760986.0938,=4877.5536,,=0.7499
2023-05-26,=91800346919874.2813,=4841.9347,,=0.7439
2023-05-19,=93493697573844.2969,=4916.9769,,=0.7576
2023-05-12,=92984457177827.3438,=4888.8439,,=0.7535
2023-05-05,=94704133393665.3906,=4976.5826,,=0.7674
2023-04-28,=94686771488622.9531,=4998.8052,,=0.7673
2023-04-21,=94376804866401.0625,=5003.5475,,=0.7648
2023-04-14,=95938740333638.8438,=5131.8160,,=0.7774
2023-04-07,=95861362573592.1563,=5162.8095,,=0.7768
2023-03-31,=94038154968204.1875,=5074.0300,,=0.7620
2023-03-24,=93769006760655.4375,=5060.3400,,=0.7599
2023-03-17,=92871943861339.5000,=4967.6800,,=0.7526
2023-03-10,=92550696749301.6875,=4993.5100,,=0.7500
2023-03-03,=95210713403120.2031,=5161.7900,,=0.7715
2023-02-24,=93667293748528.2656,=5105.6000,,=0.7590
2023-02-17,=92645045318337.7188,=5054.7700,,=0.7508
2023-02-10,=93945306926189.7344,=5139.4300,,=0.7613
2023-02-03,=94011782703393.9063,=5143.6800,,=0.7618
2023-01-20,=93363076162790.5625,=5096.7800,,=0.7566
2023-01-13,=91111184159478.2031,=4959.1400,,=0.7383
2023-01-06,=89950844345089.0938,=4895.2400,,=0.7289
2022-12-31,,,=123402939999999.9844,=0.7093
2022-12-30,=87534924021726.1563,=4756.6200,,=0.7617
2022-12-23,=86356783276694.3594,=4689.8200,,=0.7514
2022-12-16,=89895188757250.3125,=4897.9500,,=0.7822
2022-12-09,=89418397588544.3438,=4973.3500,,=0.7781
2022-12-02,=88021526135750.5313,=4893.8200,,=0.7659
2022-11-25,=86152933378549.9688,=4777.8800,,=0.7497
2022-11-18,=86565565793943.6563,=4842.8100,,=0.7532
2022-11-11,=86230803695268.3125,=4817.2400,,=0.7503
2022-11-04,=85978495571032.2969,=4808.2300,,=0.7481
2022-10-28,=81182437639101.6250,=4503.1400,,=0.7064
2022-10-21,=84574148707672.0781,=4706.9100,,=0.7359
2022-10-14,=85342379727967.1719,=4762.0200,,=0.7426
2022-09-30,=83406815009505.1719,=4631.6800,,=0.7258
2022-09-23,=85327373960385.4375,=4750.7100,,=0.7425
2022-09-16,=86384300409082.0625,=4836.3700,,=0.7517
2022-09-09,=90421607405864.5938,=5087.4700,,=0.7868
2022-09-02,=88648513314678.3906,=4994.8100,,=0.7714
2022-08-26,=90376969680238.8750,=5109.4400,,=0.7864
2022-08-19,=91563166605606.8906,=5209.7200,,=0.7967
2022-08-12,=91761516986205.7344,=5228.8900,,=0.7985
2022-08-05,=90234519509097.5156,=5142.2700,,=0.7852
2022-07-29,=90784816268455.3594,=5174.9800,,=0.7900
2022-07-22,=91140713508607.4375,=5194.8900,,=0.7931
2022-07-15,=89983672169402.6719,=5133.3200,,=0.7830
2022-07-08,=93117130835158.4219,=5308.5200,,=0.8103
2022-07-01,=93678119981986.2031,=5336.1400,,=0.8151
2022-06-24,=92750608898755.8125,=5269.8100,,=0.8071
2022-06-17,=91316351381400.4375,=5165.7900,,=0.7946
2022-06-10,=86165277731919.1250,=5079.6900,,=0.7498
2022-06-02,=83862389141611.4219,=4931.2100,,=0.7297
2022-05-27,=81734794653348.4063,=4795.2900,,=0.7112
2022-05-20,=82486936286168.2813,=4857.2600,,=0.7178
2022-05-13,=80686283904956.0781,=4739.1900,,=0.7021
2022-05-06,=78232878559716.7031,=4580.5500,,=0.6807
2022-04-29,=79301735367230.0625,=4647.0200,,=0.6900
2022-04-22,=80523150572606.9063,=4718.9100,,=0.7007
2022-04-15,=84012725953554.8750,=4957.7200,,=0.7310
2022-04-08,=85760925819388.4219,=5078,,=0.7462
2022-04-01,=86964924180203.0781,=5170.9800,,=0.7567
2022-03-25,=85562893537732.1875,=5103.0700,,=0.7445
2022-03-18,=86607323148456.1563,=5179.1400,,=0.7536
2022-03-11,=87917434607155.6250,=5248.1100,,=0.7650
2022-03-04,=91555748773583.5313,=5464.8700,,=0.7967
2022-02-25,=92286880839348.9844,=5536.7500,,=0.8030
2022-02-18,=92981955045942.9063,=5564.3800,,=0.8091
2022-02-11,=91783845017472.9531,=5471.5700,,=0.7987
2022-01-28,=90072765659360.1875,=5405.9100,,=0.7838
2022-01-21,=94574916286397.8906,=5695.0200,,=0.8229
2022-01-14,=95341461920199.9063,=5746.2300,,=0.8296
2022-01-07,=96480951279797.5469,=5811.6100,,=0.8395
2021-12-31,=98563775541199.4219,=5969.8000,=114923697861087,=0.8576
2021-12-24,=97514923718497.8438,=5896.6400,,=0.9621
2021-12-17,=98273783823506.1094,=5951.2900,,=0.9696
2021-12-10,=95991032791789.0469,=6008.6200,,=0.9471
2021-12-03,=94709408572324.3906,=5935.4000,,=0.9344
2021-11-26,=93734100334009.3906,=5876.0200,,=0.9248
2021-11-19,=93455319102110.9219,=5853.5700,,=0.9220
2021-11-12,=92835616913248.7969,=5821.3400,,=0.9159
2021-11-05,=91135827253734.8906,=5702.4800,,=0.8992
2021-10-29,=91717505248491.0938,=5740.2900,,=0.9049
2021-10-22,=92534376034921.7969,=5775.4400,,=0.9130
2021-10-15,=92146703241702.0938,=5740.9900,,=0.9091
2021-10-08,=92640617682363.5156,=5769.2900,,=0.9140
2021-09-30,=91950538008894.6406,=5723.4600,,=0.9072
2021-09-24,=93208951801732.2500,=5807.9600,,=0.9196
2021-09-17,=93453965485350.6250,=5827.8100,,=0.9220
2021-09-10,=95757701438409.8750,=5980.3600,,=0.9448
2021-09-03,=92497394706812.3281,=5767.8800,,=0.9126
2021-08-27,=91929015686754.6875,=5757.1500,,=0.9070
2021-08-20,=89818144361838.1875,=5626.2400,,=0.8862
2021-08-13,=92270776094151.4063,=5804.7300,,=0.9104
2021-08-06,=90888368133980.4844,=5738.2000,,=0.8967
2021-07-30,=89112130449568.7188,=5607.7500,,=0.8792
2021-07-23,=92474961216901.1719,=5833.6500,,=0.9124
2021-07-16,=92085995991660.2188,=5795.5300,,=0.9085
2021-07-09,=91920427892630.5781,=5752.1100,,=0.9069
2021-07-02,=91288070640368.2188,=5687.2900,,=0.9007
2021-06-25,=93339241079502.6406,=5812.0800,,=0.9209
2021-06-18,=91080933324964.5781,=5669.4500,,=0.8986
2021-06-11,=89811136656642.0156,=5755.7300,,=0.8861
2021-06-04,=89819999011284.4219,=5768.9700,,=0.8862
2021-05-28,=89764081494839.6250,=5765,,=0.8856
2021-05-21,=86970132892230.7656,=5582.6100,,=0.8581
2021-05-14,=86594390102156.5469,=5562.1600,,=0.8544
2021-05-07,=84692891775314.1406,=5445.0900,,=0.8356
2021-04-30,=85979378535968.9375,=5544.2600,,=0.8483
2021-04-23,=86483773650795.0156,=5560.1700,,=0.8533
2021-04-16,=84679469151358.0938,=5420.6800,,=0.8355
2021-04-09,=85231497549091.4375,=5457.5900,,=0.8409
2021-04-02,=86054859053432.7969,=5524.6900,,=0.8490
2021-03-26,=84349187514543.2031,=5425.7500,,=0.8322
2021-03-19,=83866349791765.8750,=5389.6300,,=0.8274
2021-03-12,=85032474580332.7969,=5469.1600,,=0.8389
2021-03-05,=87007233696397.4531,=5607.5500,,=0.8584
