日期,="上证指数.收盘点位",="宏观.新增自然人"
2025-08-26,=3868.3800,
2025-08-22,=3825.7600,
2025-08-15,=3696.7700,
2025-08-08,=3635.1300,
2025-08-01,=3559.9500,
2025-07-31,,=1954670
2025-07-25,=3593.6600,
2025-07-18,=3534.4800,
2025-07-11,=3510.1800,
2025-07-04,=3472.3200,
2025-06-30,,=1638580
2025-06-27,=3424.2300,
2025-06-20,=3359.9000,
2025-06-13,=3377,
2025-06-06,=3385.3600,
2025-05-31,,=1548846
2025-05-30,=3347.4900,
2025-05-23,=3348.3700,
2025-05-16,=3367.4600,
2025-05-09,=3342,
2025-04-30,=3279.0300,=1916209
2025-04-25,=3295.0600,
2025-04-18,=3276.7300,
2025-04-11,=3238.2300,
2025-04-03,=3342.0100,
2025-03-31,,=3056652
2025-03-28,=3351.3100,
2025-03-21,=3364.8300,
2025-03-14,=3419.5600,
2025-03-07,=3372.5500,
2025-02-28,=3320.9000,=2830297
2025-02-21,=3379.1100,
2025-02-14,=3346.7200,
2025-02-07,=3303.6700,
2025-01-31,,=1564278
2025-01-27,=3250.6000,
2025-01-24,=3252.6300,
2025-01-17,=3241.8200,
2025-01-10,=3168.5200,
2025-01-03,=3211.4300,
2024-12-31,,=1981434
2024-12-27,=3400.1400,
2024-12-20,=3368.0700,
2024-12-13,=3391.8800,
2024-12-06,=3404.0800,
2024-11-30,,=2691576
2024-11-29,=3326.4600,
2024-11-22,=3267.1900,
2024-11-15,=3330.7300,
2024-11-08,=3452.3000,
2024-11-01,=3272.0100,
2024-10-31,,=6840461
2024-10-25,=3299.7000,
2024-10-18,=3261.5600,
2024-10-11,=3217.7400,
2024-09-30,=3336.5000,=1822039
2024-09-27,=3087.5300,
2024-09-20,=2736.8100,
2024-09-13,=2704.0900,
2024-09-06,=2765.8100,
2024-08-31,,=994544
2024-08-30,=2842.2100,
2024-08-23,=2854.3700,
2024-08-16,=2879.4300,
2024-08-09,=2862.1900,
2024-08-02,=2905.3400,
2024-07-31,,=1145537
2024-07-26,=2890.9000,
2024-07-19,=2982.3100,
2024-07-12,=2971.3000,
2024-07-05,=2949.9300,
2024-06-30,,=1070733
2024-06-28,=2967.4000,
2024-06-21,=2998.1400,
2024-06-14,=3032.6300,
2024-06-07,=3051.2800,
2024-05-31,=3086.8100,=1260677
2024-05-24,=3088.8700,
2024-05-17,=3154.0300,
2024-05-10,=3154.5500,
2024-04-30,=3104.8200,=1467496
2024-04-26,=3088.6400,
2024-04-19,=3065.2600,
2024-04-12,=3019.4700,
2024-04-03,=3069.3000,
2024-03-31,,=2411209
2024-03-29,=3041.1700,
2024-03-22,=3048.0300,
2024-03-15,=3054.6400,
2024-03-08,=3046.0200,
2024-03-01,=3027.0200,
2024-02-29,,=1292289
2024-02-23,=3004.8800,
2024-02-08,=2865.9000,
2024-02-02,=2730.1500,
2024-01-31,,=1949370
2024-01-26,=2910.2200,
2024-01-19,=2832.2800,
2024-01-12,=2881.9800,
2024-01-05,=2929.1800,
2023-12-31,,=1131364
2023-12-29,=2974.9300,
2023-12-22,=2914.7800,
2023-12-15,=2942.5600,
2023-12-08,=2969.5600,
2023-12-01,=3031.6400,
2023-11-30,,=1332749
2023-11-24,=3040.9700,
2023-11-17,=3054.3700,
2023-11-10,=3038.9700,
2023-11-03,=3030.8000,
2023-10-31,,=1168305
2023-10-27,=3017.7800,
2023-10-20,=2983.0600,
2023-10-13,=3088.1000,
2023-09-30,,=1331688
2023-09-28,=3110.4800,
2023-09-22,=3132.4300,
2023-09-15,=3117.7400,
2023-09-08,=3116.7200,
2023-09-01,=3133.2500,
2023-08-31,,=993000
2023-08-25,=3064.0700,
2023-08-18,=3131.9500,
2023-08-11,=3189.2500,
2023-08-04,=3288.0800,
2023-07-31,,=907800
2023-07-28,=3275.9300,
2023-07-21,=3167.7500,
2023-07-14,=3237.7000,
2023-07-07,=3196.6100,
2023-06-30,=3202.0600,=978600
2023-06-21,=3197.9000,
2023-06-16,=3273.3300,
2023-06-09,=3231.4100,
2023-06-02,=3230.0700,
2023-05-31,,=970000
2023-05-26,=3212.5000,
2023-05-19,=3283.5400,
2023-05-12,=3272.3600,
2023-05-05,=3334.5000,
2023-04-30,,=997000
2023-04-28,=3323.2700,
2023-04-21,=3301.2600,
2023-04-14,=3338.1500,
2023-04-07,=3327.6500,
2023-03-31,=3272.8600,=1891700
2023-03-24,=3265.6500,
2023-03-17,=3250.5500,
2023-03-10,=3230.0800,
2023-03-03,=3328.3900,
2023-02-28,,=1673000
2023-02-24,=3267.1600,
2023-02-17,=3224.0200,
2023-02-10,=3260.6700,
2023-02-03,=3263.4100,
2023-01-31,,=841800
2023-01-20,=3264.8100,
2023-01-13,=3195.3100,
2023-01-06,=3157.6400,
2022-12-31,,=708000
2022-12-30,=3089.2600,
2022-12-23,=3045.8700,
2022-12-16,=3167.8600,
2022-12-09,=3206.9500,
2022-12-02,=3156.1400,
2022-11-30,,=969500
2022-11-25,=3101.6900,
2022-11-18,=3097.2400,
2022-11-11,=3087.2900,
2022-11-04,=3070.8000,
2022-10-31,,=800200
2022-10-28,=2915.9300,
2022-10-21,=3038.9300,
2022-10-14,=3071.9900,
2022-09-30,=3024.3900,=1027300
2022-09-23,=3088.3700,
2022-09-16,=3126.4000,
2022-09-09,=3262.0500,
2022-09-02,=3186.4800,
2022-08-31,,=1242500
2022-08-26,=3236.2200,
2022-08-19,=3258.0800,
2022-08-12,=3276.8900,
2022-08-05,=3227.0300,
2022-07-31,,=1129400
2022-07-29,=3253.2400,
2022-07-22,=3269.9700,
2022-07-15,=3228.0600,
2022-07-08,=3356.0800,
2022-07-01,=3387.6400,
2022-06-30,,=1327500
2022-06-24,=3349.7500,
2022-06-17,=3316.7900,
2022-06-10,=3284.8300,
2022-06-02,=3195.4600,
2022-05-31,,=1199900
2022-05-27,=3130.2400,
2022-05-20,=3146.5700,
2022-05-13,=3084.2800,
2022-05-06,=3001.5600,
2022-04-30,,=1253800
2022-04-29,=3047.0600,
2022-04-22,=3086.9200,
2022-04-15,=3211.2400,
2022-04-08,=3251.8500,
2022-04-01,=3282.7200,
2022-03-31,,=2297500
2022-03-25,=3212.2400,
2022-03-18,=3251.0700,
2022-03-11,=3309.7500,
2022-03-04,=3447.6500,
2022-02-28,,=1411900
2022-02-25,=3451.4100,
2022-02-18,=3490.7600,
2022-02-11,=3462.9500,
2022-01-31,,=1320600
2022-01-28,=3361.4400,
2022-01-21,=3522.5700,
2022-01-14,=3521.2600,
2022-01-07,=3579.5400,
2021-12-31,=3639.7800,=1368000
2021-12-24,=3618.0500,
2021-12-17,=3632.3600,
2021-12-10,=3666.3500,
2021-12-03,=3607.4300,
2021-11-30,,=1330400
2021-11-26,=3564.0900,
2021-11-19,=3560.3700,
2021-11-12,=3539.1000,
2021-11-05,=3491.5700,
2021-10-31,,=977200
2021-10-29,=3547.3400,
2021-10-22,=3582.6000,
2021-10-15,=3572.3700,
2021-10-08,=3592.1700,
2021-09-30,=3568.1700,=1612700
2021-09-24,=3613.0700,
2021-09-17,=3613.9700,
2021-09-10,=3703.1100,
2021-09-03,=3581.7300,
2021-08-31,,=1869800
2021-08-27,=3522.1600,
2021-08-20,=3427.3300,
