日期,="宏观.中债-十年期收益率",="社融-M2"
2025-08-26,=0.0176,=0.0724
2025-08-22,=0.0178,=0.0722
2025-08-15,=0.0175,=0.0725
2025-08-08,=0.0169,=0.0731
2025-08-01,=0.0171,=0.0729
2025-07-31,,=0.0727
2025-07-25,=0.0173,=0.0717
2025-07-18,=0.0167,=0.0723
2025-07-11,=0.0167,=0.0723
2025-07-04,=0.0164,=0.0726
2025-06-30,,=0.0725
2025-06-27,=0.0165,=0.0705
2025-06-20,=0.0164,=0.0706
2025-06-13,=0.0164,=0.0706
2025-06-06,=0.0165,=0.0705
2025-05-31,,=0.0703
2025-05-30,=0.0167,=0.0703
2025-05-23,=0.0172,=0.0698
2025-05-16,=0.0168,=0.0702
2025-05-09,=0.0164,=0.0706
2025-04-30,=0.0162,=0.0708
2025-04-27,=0.0166,=0.0674
2025-04-18,=0.0165,=0.0675
2025-04-11,=0.0166,=0.0674
2025-04-03,=0.0172,=0.0668
2025-03-31,,=0.0659
2025-03-28,=0.0181,=0.0639
2025-03-21,=0.0185,=0.0635
2025-03-14,=0.0183,=0.0637
2025-03-07,=0.0180,=0.0640
2025-02-28,=0.0172,=0.0648
2025-02-21,=0.0172,=0.0628
2025-02-14,=0.0165,=0.0635
2025-02-08,=0.0161,=0.0639
2025-01-31,,=0.0637
2025-01-27,=0.0163,=0.0637
2025-01-26,=0.0165,=0.0635
2025-01-17,=0.0166,=0.0634
2025-01-10,=0.0163,=0.0637
2025-01-03,=0.0160,=0.0640
2024-12-31,,=0.0631
2024-12-27,=0.0169,=0.0611
2024-12-20,=0.0170,=0.0610
2024-12-13,=0.0178,=0.0602
2024-12-06,=0.0195,=0.0585
2024-11-30,,=0.0578
2024-11-29,=0.0202,=0.0578
2024-11-22,=0.0208,=0.0572
2024-11-15,=0.0209,=0.0571
2024-11-08,=0.0211,=0.0569
2024-11-01,=0.0214,=0.0566
2024-10-31,,=0.0565
2024-10-25,=0.0215,=0.0585
2024-10-18,=0.0212,=0.0588
2024-10-12,=0.0214,=0.0586
2024-09-30,=0.0215,=0.0585
2024-09-29,=0.0225,=0.0585
2024-09-20,=0.0204,=0.0606
2024-09-14,=0.0204,=0.0606
2024-09-06,=0.0214,=0.0596
2024-08-31,,=0.0593
2024-08-30,=0.0217,=0.0603
2024-08-23,=0.0215,=0.0605
2024-08-16,=0.0220,=0.0600
2024-08-09,=0.0220,=0.0600
2024-08-02,=0.0213,=0.0607
2024-07-31,,=0.0601
2024-07-26,=0.0219,=0.0591
2024-07-19,=0.0226,=0.0584
2024-07-12,=0.0226,=0.0584
2024-07-05,=0.0228,=0.0582
2024-06-30,,=0.0589
2024-06-28,=0.0221,=0.0619
2024-06-21,=0.0226,=0.0614
2024-06-14,=0.0226,=0.0614
2024-06-07,=0.0228,=0.0612
2024-05-31,=0.0229,=0.0611
2024-05-24,=0.0231,=0.0599
2024-05-17,=0.0231,=0.0599
2024-05-11,=0.0234,=0.0596
2024-04-30,=0.0230,=0.0600
2024-04-28,=0.0232,=0.0638
2024-04-19,=0.0225,=0.0645
2024-04-12,=0.0228,=0.0642
2024-04-07,=0.0229,=0.0641
2024-03-31,,=0.0641
2024-03-29,=0.0229,=0.0671
2024-03-22,=0.0231,=0.0669
2024-03-15,=0.0232,=0.0668
2024-03-08,=0.0228,=0.0672
2024-03-01,=0.0237,=0.0663
2024-02-29,,=0.0660
2024-02-23,=0.0240,=0.0710
2024-02-09,=0.0243,=0.0707
