日期,="沪深300.收盘点位",="格雷厄姆指数"
2025-08-26,=4452.5900,=2.5664
2025-08-22,=4378,=2.5691
2025-08-15,=4202.3500,=2.7144
2025-08-08,=4104.9700,=2.8621
2025-08-01,=4054.9300,=2.8865
2025-07-25,=4127.1600,=2.8075
2025-07-18,=4058.5500,=2.9684
2025-07-11,=4014.8100,=2.9953
2025-07-04,=3982.2000,=3.0749
2025-06-27,=3921.7600,=3.1092
2025-06-20,=3846.6400,=3.2038
2025-06-13,=3864.1800,=3.1854
2025-06-06,=3873.9800,=3.1533
2025-05-30,=3840.2300,=3.1629
2025-05-23,=3882.2700,=3.0692
2025-05-16,=3889.0900,=3.1307
2025-05-09,=3846.1600,=3.2312
2025-04-30,=3770.5700,=3.3258
2025-04-27,,=3.3094
2025-04-25,=3786.9900,=3.3322
2025-04-18,=3772.5200,=3.3753
2025-04-11,=3750.5200,=3.3918
2025-04-03,=3861.5000,=3.1481
2025-03-28,=3915.1700,=2.9771
2025-03-21,=3914.7000,=2.8733
2025-03-14,=4006.5600,=2.8356
2025-03-07,=3944.0100,=2.9247
2025-02-28,=3890.0500,=3.1264
2025-02-21,=3978.4400,=3.0471
2025-02-14,=3939.0100,=3.2179
2025-02-08,,=3.3708
2025-02-07,=3892.7000,=3.3207
2025-01-27,=3817.0800,=3.4005
2025-01-26,,=3.3381
2025-01-24,=3832.8600,=3.3269
2025-01-17,=3812.3400,=3.3459
2025-01-10,=3732.4800,=3.4974
2025-01-03,=3775.1600,=3.5177
2024-12-27,=3981.0300,=3.1339
2024-12-20,=3927.7400,=3.1297
2024-12-13,=3933.1800,=2.9674
2024-12-06,=3973.1400,=2.6941
2024-11-29,=3916.5800,=2.6661
2024-11-22,=3865.7000,=2.6383
2024-11-15,=3968.8300,=2.5729
2024-11-08,=4104.0500,=2.4698
2024-11-01,=3890.0200,=2.5759
2024-10-25,=3956.4200,=2.5208
2024-10-18,=3925.2300,=2.5821
2024-10-12,,=2.6092
2024-10-11,=3887.1700,=2.5998
2024-09-30,=4017.8500,=2.5072
2024-09-29,,=2.6062
2024-09-27,=3703.6800,=2.8744
2024-09-20,=3201.0500,=3.2549
2024-09-14,,=3.2996
2024-09-13,=3159.2500,=3.1511
2024-09-06,=3231.3500,=3.0858
2024-08-30,=3321.4300,=2.9867
2024-08-23,=3327.1900,=3.0088
2024-08-16,=3345.6300,=2.9051
2024-08-09,=3331.6300,=2.9180
2024-08-02,=3384.3900,=2.9598
2024-07-26,=3409.2900,=2.8834
2024-07-19,=3539.0200,=2.7132
2024-07-12,=3472.4000,=2.7199
2024-07-05,=3431.0600,=2.7250
2024-06-28,=3461.6600,=2.7898
2024-06-21,=3495.6200,=2.6964
2024-06-14,=3541.5300,=2.6558
2024-06-07,=3574.1100,=2.6188
2024-05-31,=3579.9200,=2.5676
2024-05-24,=3601.4800,=2.5431
2024-05-17,=3677.9700,=2.4923
2024-05-11,,=2.4593
2024-05-10,=3666.2800,=2.4948
2024-04-30,=3604.3900,=2.5383
2024-04-28,,=2.5591
2024-04-26,=3584.2700,=2.6391
2024-04-19,=3541.6600,=2.6737
2024-04-12,=3475.8400,=2.6585
2024-04-07,,=2.5848
2024-04-03,=3567.8000,=2.5889
2024-03-29,=3537.4800,=2.6039
2024-03-22,=3545,=2.5725
2024-03-15,=3569.9900,=2.5622
2024-03-08,=3544.9100,=2.6283
2024-03-01,=3537.8000,=2.5511
2024-02-23,=3489.7400,=2.5503
2024-02-09,,=2.6520
2024-02-08,=3364.9300,=2.6583
2024-02-02,=3179.6300,=2.7851
2024-01-26,=3333.8200,=2.5009
2024-01-19,=3269.7800,=2.5435
2024-01-12,=3284.1700,=2.4742
2024-01-05,=3329.1100,=2.4334
2023-12-31,,=2.3476
2023-12-29,=3431.1100,=2.3182
2023-12-22,=3337.2300,=2.3764
2023-12-15,=3341.5500,=2.3140
2023-12-08,=3399.4600,=2.2466
2023-12-01,=3482.8800,=2.2049
2023-11-24,=3538.0100,=2.1624
2023-11-17,=3568.0700,=2.1924
2023-11-10,=3586.4900,=2.2107
2023-11-03,=3584.1400,=2.2113
2023-10-27,=3562.3900,=2.1789
2023-10-20,=3510.5900,=2.2097
2023-10-13,=3663.4100,=2.1510
2023-10-08,,=2.1518
2023-09-28,=3689.5200,=2.1417
2023-09-22,=3738.9300,=2.1277
2023-09-15,=3708.7800,=2.1654
2023-09-08,=3739.9900,=2.1618
2023-09-01,=3791.4900,=2.1933
2023-08-25,=3709.1500,=2.3113
2023-08-18,=3784,=2.2694
2023-08-11,=3884.2500,=2.1695
2023-08-04,=4020.5800,=2.0951
2023-07-28,=3992.7400,=2.1028
2023-07-21,=3821.9100,=2.1971
2023-07-14,=3899.1000,=2.1185
2023-07-07,=3825.7000,=2.1478
2023-06-30,=3842.4500,=2.1445
2023-06-25,,=2.1324
2023-06-21,=3864.0300,=2.1284
2023-06-16,=3963.3500,=2.0792
2023-06-09,=3836.7000,=2.1139
2023-06-02,=3861.8300,=2.0876
2023-05-26,=3850.9500,=2.0846
2023-05-19,=3944.5400,=2.0509
2023-05-12,=3937.7600,=2.0691
2023-05-06,,=2.0132
2023-05-05,=4016.8800,=1.9786
2023-04-28,=4029.0900,=1.9944
2023-04-23,,=1.9557
2023-04-21,=4032.5700,=1.9515
2023-04-14,=4092,=1.9333
2023-04-07,=4123.2800,=1.9190
2023-03-31,=4050.9300,=1.9560
2023-03-24,=4027.0500,=1.9445
2023-03-17,=3958.8200,=1.9708
2023-03-10,=3967.1400,=1.9790
2023-03-03,=4130.5500,=1.8940
2023-02-24,=4061.0500,=1.9187
2023-02-17,=4034.5100,=1.9539
2023-02-10,=4106.3100,=1.9213
2023-02-03,=4141.6300,=1.9240
2023-01-29,,=1.9191
2023-01-20,=4181.5300,=1.9117
2023-01-13,=4074.3800,=1.9807
2023-01-06,=3980.8900,=2.0545
2022-12-31,,=2.1094
2022-12-30,=3871.6300,=2.1170
2022-12-23,=3828.2200,=2.1459
2022-12-16,=3954.2300,=2.0182
2022-12-09,=3998.2400,=2.0049
2022-12-02,=3870.9500,=2.0529
2022-11-25,=3775.7800,=2.1253
2022-11-18,=3801.5700,=2.1189
2022-11-11,=3788.4400,=2.1971
2022-11-04,=3767.1700,=2.2301
2022-10-28,=3541.3300,=2.4188
2022-10-21,=3742.8900,=2.2516
2022-10-14,=3842.4700,=2.2467
2022-10-09,,=2.2583
2022-09-30,=3804.8900,=2.2461
2022-09-23,=3856.0200,=2.2610
2022-09-16,=3932.6800,=2.2394
2022-09-09,=4093.7900,=2.1702
2022-09-02,=4023.6100,=2.2241
2022-08-26,=4107.5500,=2.1849
2022-08-19,=4151.0700,=2.1827
2022-08-12,=4191.1500,=2.0546
2022-08-05,=4156.9100,=2.0832
2022-07-29,=4170.1000,=2.0422
2022-07-22,=4238.2300,=2.0116
2022-07-15,=4248.5300,=2.0384
2022-07-08,=4428.7800,=1.9329
2022-07-01,=4466.7200,=1.9305
2022-06-24,=4394.7700,=1.9699
2022-06-17,=4309.0400,=2.0171
2022-06-10,=4238.9900,=2.0665
2022-06-02,=4089.5700,=2.1130
2022-05-27,=4001.3000,=2.2168
2022-05-20,=4077.6000,=2.1213
2022-05-13,=3988.6000,=2.1502
2022-05-07,,=2.2070
2022-05-06,=3908.8200,=2.1974
2022-04-29,=4016.2400,=2.1932
2022-04-24,,=2.1705
2022-04-22,=4013.2500,=2.2301
2022-04-15,=4188.7500,=2.1381
2022-04-08,=4230.7700,=2.0919
2022-04-02,,=2.0499
2022-04-01,=4276.1600,=2.0309
2022-03-25,=4174.5700,=2.0517
2022-03-18,=4265.9000,=2.0295
2022-03-11,=4306.5200,=2.0065
2022-03-04,=4496.4300,=1.9113
2022-02-25,=4573.4200,=1.9233
2022-02-18,=4651.2400,=1.8912
2022-02-11,=4601.4000,=1.9239
2022-01-30,,=2.0249
2022-01-28,=4563.7700,=2.0172
2022-01-21,=4779.3100,=1.9212
2022-01-14,=4726.7300,=1.8486
2022-01-07,=4822.3700,=1.8110
2021-12-31,=4940.3700,=1.7993
2021-12-24,=4921.3400,=1.7899
2021-12-17,=4954.7600,=1.7567
2021-12-10,=5055.1200,=1.7694
2021-12-03,=4901.0200,=1.7762
2021-11-26,=4860.1300,=1.8266
2021-11-19,=4890.0600,=1.7631
2021-11-12,=4888.3700,=1.7695
2021-11-05,=4842.3500,=1.8323
2021-10-29,=4908.7700,=1.7685
2021-10-22,=4959.7300,=1.7477
2021-10-15,=4932.1100,=1.7689
2021-10-09,,=1.7865
2021-10-08,=4929.9400,=1.8119
2021-09-30,=4866.3800,=1.8255
2021-09-26,,=1.7992
2021-09-24,=4849.4300,=1.8042
2021-09-18,,=1.7995
2021-09-17,=4855.9400,=1.8033
2021-09-10,=5013.5200,=1.7599
2021-09-03,=4843.0600,=1.8431
2021-08-27,=4827.0400,=1.7648
2021-08-20,=4769.2700,=1.7838
2021-08-13,=4945.9800,=1.7030
2021-08-06,=4921.5600,=1.7514
2021-07-30,=4811.1700,=1.7681
2021-07-23,=5089.2300,=1.6538
2021-07-16,=5094.7700,=1.6430
2021-07-09,=5069.4400,=1.6092
2021-07-02,=5081.1200,=1.5879
2021-06-25,=5239.9700,=1.5531
2021-06-18,=5102.4700,=1.5724
2021-06-11,=5224.7000,=1.5626
2021-06-04,=5282.2800,=1.5788
2021-05-28,=5321.0900,=1.5863
2021-05-21,=5134.1500,=1.6344
2021-05-14,=5110.5900,=1.6129
2021-05-08,,=1.6407
2021-05-07,=4996.0500,=1.6377
2021-04-30,=5123.4900,=1.6142
2021-04-25,,=1.4721
2021-04-23,=5135.4500,=1.4819
2021-04-16,=4966.1800,=1.4863
2021-04-09,=5035.3400,=1.4253
2021-04-02,=5161.5600,=1.4139
2021-03-26,=5037.9900,=1.3906
2021-03-19,=5007.0900,=1.3703
2021-03-12,=5146.3800,=1.3335
2021-03-05,=5262.8000,=1.3067
2021-02-26,=5336.7600,=1.2914
2021-02-20,,=1.2267
2021-02-19,=5778.8400,=1.2326
2021-02-10,=5807.7200,=1.2435
2021-02-07,,=1.3152
2021-02-05,=5483.4100,=1.3310
2021-01-29,=5351.9600,=1.3238
2021-01-22,=5569.7800,=1.2968
2021-01-15,=5458.0800,=1.3139
2021-01-08,=5495.4300,=1.3064
2020-12-31,=5211.2900,=1.3469
2020-12-25,=5042.0100,=1.3594
2020-12-18,=4999.9700,=1.3197
2020-12-11,=4889.6300,=1.4244
2020-12-04,=5065.9200,=1.3917
2020-11-27,=4980.7700,=1.3976
2020-11-20,=4943.2900,=1.3965
2020-11-13,=4856.8500,=1.4363
2020-11-06,=4885.7200,=1.4607
2020-10-30,=4695.3300,=1.5218
2020-10-23,=4718.4900,=1.4409
2020-10-16,=4791.6800,=1.3900
