日期,="沪深300.PE-TTM(市值加权)",="宏观.中债-十年期收益率",="1 / 沪深300.PE-TTM(市值加权) / 宏观.中债 - 十年期收益率"
2025-08-26,=14.1298,=0.0176,=4.0216
2025-08-22,=13.9749,=0.0178,=4.0160
2025-08-15,=13.4590,=0.0175,=4.2542
2025-08-08,=13.3084,=0.0169,=4.4486
2025-08-01,=13.1111,=0.0171,=4.4710
2025-07-25,=13.3208,=0.0173,=4.3333
2025-07-18,=13.2014,=0.0167,=4.5490
2025-07-11,=13.1341,=0.0167,=4.5720
2025-07-04,=13.0533,=0.0164,=4.6619
2025-06-27,=12.8455,=0.0165,=4.7290
2025-06-20,=12.6687,=0.0164,=4.8143
2025-06-13,=12.5328,=0.0164,=4.8534
2025-06-06,=12.5634,=0.0165,=4.8103
2025-05-30,=12.4609,=0.0167,=4.8020
2025-05-23,=12.5492,=0.0172,=4.6308
2025-05-16,=12.5608,=0.0168,=4.7408
2025-05-09,=12.4394,=0.0164,=4.9165
2025-04-30,=12.2078,=0.0162,=5.0431
2025-04-27,,=0.0166,=4.9231
2025-04-25,=12.2313,,=4.9571
2025-04-18,=12.2547,=0.0165,=4.9477
2025-04-11,=12.0922,=0.0166,=4.9914
2025-04-03,=12.4220,=0.0172,=4.6858
2025-03-28,=12.4638,=0.0181,=4.4264
2025-03-21,=12.5799,=0.0185,=4.3066
2025-03-14,=12.8272,=0.0183,=4.2561
2025-03-07,=12.6530,=0.0180,=4.3902
2025-02-28,=12.5879,=0.0172,=4.6316
2025-02-21,=12.8566,=0.0172,=4.5221
2025-02-14,=12.7815,=0.0165,=4.7285
2025-02-08,,=0.0161,=4.9477
2025-02-07,=12.5873,,=4.8742
2025-01-27,=12.4759,=0.0163,=4.9178
2025-01-26,,=0.0165,=4.8554
2025-01-24,=12.4543,,=4.8390
2025-01-17,=12.4541,=0.0166,=4.8391
2025-01-10,=12.2596,=0.0163,=4.9926
2025-01-03,=12.4343,=0.0160,=5.0136
2024-12-27,=13.0050,=0.0169,=4.5421
2024-12-20,=12.7299,=0.0170,=4.6160
2024-12-13,=12.6550,=0.0178,=4.4466
2024-12-06,=12.7380,=0.0195,=4.0179
2024-11-29,=12.4998,=0.0202,=3.9593
2024-11-22,=12.3362,=0.0208,=3.8912
2024-11-15,=12.6121,=0.0209,=3.7850
2024-11-08,=12.9754,=0.0211,=3.6583
2024-11-01,=12.4441,=0.0214,=3.7541
2024-10-25,=12.8601,=0.0215,=3.6102
2024-10-18,=12.9934,=0.0212,=3.6287
2024-10-12,,=0.0214,=3.6097
2024-10-11,=12.9208,,=3.5967
2024-09-30,=13.2586,=0.0215,=3.5051
2024-09-29,,=0.0225,=3.6006
2024-09-27,=12.3251,,=3.9712
2024-09-20,=10.9406,=0.0204,=4.4737
2024-09-14,,=0.0204,=4.5417
2024-09-13,=10.7799,,=4.3373
2024-09-06,=11.0195,=0.0214,=4.2430
2024-08-30,=11.2589,=0.0217,=4.0923
2024-08-23,=11.5038,=0.0215,=4.0343
2024-08-16,=11.5112,=0.0220,=3.9527
2024-08-09,=11.3621,=0.0220,=4.0031
2024-08-02,=11.5624,=0.0213,=4.0648
2024-07-26,=11.6279,=0.0219,=3.9191
2024-07-19,=12.0715,=0.0226,=3.6632
2024-07-12,=11.9079,=0.0226,=3.7152
2024-07-05,=11.8225,=0.0228,=3.7173
2024-06-28,=11.8433,=0.0221,=3.8279
