日期,CPI年率(%)
2025-08-01,99.6
2025-07-01,100.0
2025-06-01,100.1
2025-05-01,99.9
2025-04-01,99.9
2025-03-01,99.9
2025-02-01,99.3
2025-01-01,100.5
2024-12-01,100.1
2024-11-01,100.2
2024-10-01,100.3
2024-09-01,100.4
2024-08-01,100.6
2024-07-01,100.5
2024-06-01,100.2
2024-05-01,100.3
2024-04-01,100.3
2024-03-01,100.1
2024-02-01,100.7
2024-01-01,99.2
2023-12-01,99.7
2023-11-01,99.5
2023-10-01,99.8
2023-09-01,100.0
2023-08-01,100.1
2023-07-01,99.7
2023-06-01,100.0
2023-05-01,100.2
2023-04-01,100.1
2023-03-01,100.7
2023-02-01,101.0
2023-01-01,102.1
2022-12-01,101.8
2022-11-01,101.6
2022-10-01,102.1
2022-09-01,102.8
2022-08-01,102.5
2022-07-01,102.7
2022-06-01,102.5
2022-05-01,102.1
2022-04-01,102.1
2022-03-01,101.5
2022-02-01,100.9
2022-01-01,100.9
2021-12-01,101.5
2021-11-01,102.3
2021-10-01,101.5
2021-09-01,100.7
2021-08-01,100.8
2021-07-01,101.0
2021-06-01,101.1
2021-05-01,101.3
2021-04-01,100.9
2021-03-01,100.4
2021-02-01,99.8
2021-01-01,99.7
2020-12-01,100.2
2020-11-01,99.5
2020-10-01,100.5
2020-09-01,101.7
2020-08-01,102.4
2020-07-01,102.7
2020-06-01,102.5
2020-05-01,102.4
2020-04-01,103.3
2020-03-01,104.3
2020-02-01,105.2
2020-01-01,105.4
2019-12-01,104.5
2019-11-01,104.5
2019-10-01,103.8
2019-09-01,103.0
2019-08-01,102.8
2019-07-01,102.8
2019-06-01,102.7
2019-05-01,102.7
2019-04-01,102.5
2019-03-01,102.3
2019-02-01,101.5
2019-01-01,101.7
2018-12-01,101.9
2018-11-01,102.2
2018-10-01,102.5
2018-09-01,102.5
2018-08-01,102.3
2018-07-01,102.1
2018-06-01,101.9
2018-05-01,101.8
2018-04-01,101.8
2018-03-01,102.1
2018-02-01,102.9
2018-01-01,101.5
2017-12-01,101.8
2017-11-01,101.7
2017-10-01,101.9
2017-09-01,101.6
2017-08-01,101.8
2017-07-01,101.4
2017-06-01,101.5
2017-05-01,101.5
2017-04-01,101.2
2017-03-01,100.9
2017-02-01,100.8
2017-01-01,102.5
2016-12-01,102.1
2016-11-01,102.3
2016-10-01,102.1
2016-09-01,101.9
2016-08-01,101.3
2016-07-01,101.8
2016-06-01,101.9
2016-05-01,102.0
2016-04-01,102.3
2016-03-01,102.3
2016-02-01,102.3
2016-01-01,101.8
2015-12-01,101.6
2015-11-01,101.5
2015-10-01,101.3
2015-09-01,101.59560463
2015-08-01,102.0
2015-07-01,101.6
2015-06-01,101.4
2015-05-01,101.2
2015-04-01,101.5
2015-03-01,101.4
2015-02-01,101.4
2015-01-01,100.8
2014-12-01,101.5
2014-11-01,101.4
2014-10-01,101.60114868
2014-09-01,101.6
2014-08-01,102.0
2014-07-01,102.3
2014-06-01,102.3
2014-05-01,102.5
2014-04-01,101.80138144
2014-03-01,102.4
2014-02-01,102.0
2014-01-01,102.5
2013-12-01,102.49871692
2013-11-01,103.0
2013-10-01,103.2
2013-09-01,103.1
2013-08-01,102.6
2013-07-01,102.7
2013-06-01,102.7
2013-05-01,102.0981
2013-04-01,102.4
2013-03-01,102.1
2013-02-01,103.2
2013-01-01,102.0
2012-12-01,102.5
2012-11-01,102.0
2012-10-01,101.7
2012-09-01,101.9
2012-08-01,102.0
2012-07-01,101.8
2012-06-01,102.1504
2012-05-01,103.0008
2012-04-01,103.3653
2012-03-01,103.5856
2012-02-01,103.1613
2012-01-01,104.5485
2011-12-01,104.0704
2011-11-01,104.2246
2011-10-01,105.4954
2011-09-01,106.0671
2011-08-01,106.1514
2011-07-01,106.4508
2011-06-01,106.3553
2011-05-01,105.5146
2011-04-01,105.3442
2011-03-01,105.383
2011-02-01,104.9443
2011-01-01,104.9121
2010-12-01,104.5859
2010-11-01,105.1192
2010-10-01,104.3655
2010-09-01,103.6056
2010-08-01,103.4794
2010-07-01,103.3042
2010-06-01,102.9499
2010-05-01,103.0613
2010-04-01,102.8136
2010-03-01,102.3707
2010-02-01,102.6953
2010-01-01,101.53
2009-12-01,101.8559
2009-11-01,100.56
2009-10-01,99.47
2009-09-01,99.2117
2009-08-01,98.7957
2009-07-01,98.1943
2009-06-01,98.3
2009-05-01,98.6287
2009-04-01,98.5
2009-03-01,98.8286
2009-02-01,98.4418
2009-01-01,100.95
2008-12-01,101.1999
2008-11-01,102.434
2008-10-01,103.9744
2008-09-01,104.6425
2008-08-01,104.9001
2008-07-01,106.302
2008-06-01,107.0844
2008-05-01,107.7163
2008-04-01,108.4829
2008-03-01,108.3097
2008-02-01,108.7443
2008-01-01,107.0781
