日期,成交金额-上海(亿元),成交金额-深圳(亿元),全部成交金额(亿元)
2008-01-31,30759.73,15770.72,46530.45
2008-02-29,14230.33,6881.35,21111.68
2008-03-31,19418.53,9113.89,28532.42
2008-04-30,18648.58,8252.82,26901.4
2008-05-31,19792.87,9674.0,29466.87
2008-06-30,11322.15,5540.49,16862.64
2008-07-31,15315.04,7945.24,23260.28
2008-08-31,7894.27,3914.54,11808.810000000001
2008-09-30,8116.64,3425.05,11541.69
2008-10-31,7324.39,3071.59,10395.98
2008-11-30,11882.06,5230.23,17112.29
2008-12-31,15725.37,7862.78,23588.15
2009-01-31,9763.3,5153.5,14916.8
2009-02-28,26363.9,14026.1,40390.0
2009-03-31,25066.13,12488.62,37554.75
2009-04-30,30107.17,15632.95,45740.119999999995
2009-05-31,24211.02,12864.78,37075.8
2009-06-30,30859.29405731,15319.54,46178.83405731
2009-07-31,47334.81507536,23561.32,70896.13507536
2009-08-31,33367.09299158,17170.44,50537.532991579996
2009-09-30,28334.70414505,15863.51,44198.21414505
2009-10-31,20003.5823572,12368.61,32372.1923572
2009-11-30,39150.94768278,24860.42,64011.36768278
2009-12-31,31949.94720483,20165.08,52115.02720483
2010-01-31,29105.28958427,18795.9873364,47901.27692067
2010-02-28,14307.34703852,10011.26013415,24318.60717267
2010-03-31,25294.32741553,18820.59426492,44114.92168045
2010-04-30,28788.1,23141.3,51929.399999999994
2010-05-31,18658.0,14189.3,32847.3
2010-06-30,12969.7,12338.2,25307.9
2010-07-31,17526.12,15147.34,32673.46
2010-08-31,24773.56,22597.31,47370.87
2010-09-30,23533.28,20646.77,44180.05
2010-10-31,36891.2823,25946.5809,62837.8632
2010-11-30,45922.1196,36648.0093,82570.1289
2010-12-31,26542.8821,23038.8798,49581.7619
2011-01-31,20275.7888,14423.48,34699.2688
2011-02-28,21667.8026,15906.61,37574.412599999996
2011-03-31,37034.1232,26264.77,63298.893200000006
2011-04-30,27369.2333,18556.08,45925.3133
2011-05-31,20491.5343,13581.39,34072.9243
2011-06-30,18543.4803,12842.76,31386.240299999998
2011-07-31,23057.6969,19114.89,42172.586899999995
2011-08-31,19185.0421,17787.97,36973.0121
2011-09-30,12131.6776,10184.66,22316.3376
2011-10-31,11181.9293,9500.58,20682.509299999998
2011-11-30,16326.3619,16228.06,32554.4219
2011-12-31,10290.6337,9698.01,19988.6437
2012-01-31,9075.1301,7551.87,16627.0001
2012-02-29,17746.36,15915.62,33661.98
2012-03-31,20326.76,18302.61,38629.369999999995
2012-04-30,14719.4148,12119.04,26838.4548
2012-05-31,19451.559,15685.47,35137.029
2012-06-30,12177.69,11850.83,24028.52
2012-07-31,12213.76,12752.84,24966.6
2012-08-31,11474.5395,12549.57,24024.1095
2012-09-30,11581.76,11635.49,23217.25
2012-10-31,9232.96,9015.86,18248.82
2012-11-30,9209.76,8309.49,17519.25
2012-12-31,17251.16,14433.73,31684.89
2013-01-31,22660.36,20541.61,43201.97
2013-02-28,16318.71,13953.79,30272.5
2013-03-31,20452.177,18243.64,38695.816999999995
2013-04-30,12886.8313,12853.22,25740.0513
2013-05-31,20969.94,24048.29,45018.229999999996
2013-06-30,13326.4054,15166.5,28492.9054
2013-07-31,18236.3671336,23266.26,41502.6271336
2013-08-31,20726.1,24435.32,45161.42
2013-09-30,25465.75,21417.54,46883.29
2013-10-31,21016.54852663,22438.76,43455.30852663
2013-11-30,19287.39,20807.16,40094.55
2013-12-31,18262.17689849,21290.5,39552.67689849
2014-01-31,13663.8,22123.6485,35787.4485
2014-02-28,17968.53,25928.4945,43897.0245
2014-03-31,18702.84,23515.7057,42218.5457
2014-04-30,16876.08,17992.6658,34868.745800000004
2014-05-31,12055.37,15461.4861,27516.8561
2014-06-30,13193.06,19111.8645,32304.9245
2014-07-31,23994.16,29321.6448,53315.8048
2014-08-31,27982.46,32823.2855,60805.7455
2014-09-30,35652.53,40872.1219,76524.6519
2014-10-31,31375.97,33729.4184,65105.3884
2014-11-30,48995.7,39906.3579,88902.0579
2014-12-31,115173.9,65964.1716,181138.0716
2015-01-31,78474.86,49195.1166,127669.9766
2015-02-28,41447.67,34525.8103,75973.4803
2015-03-31,113018.96,95495.4318,208514.3918
2015-04-30,174089.5,126547.95842714,300637.45842714
2015-05-31,163910.87,148164.98701946,312075.85701946
2015-06-30,200365.3,166247.5401,366612.84010000003
2015-07-31,161218.14,120223.0292,281441.1692
2015-08-31,107950.48,97242.06411,205192.54411000002
2015-09-30,56308.19,59810.006,116118.196
2015-10-31,64279.18,86362.7568,150641.9368
2015-11-30,92309.64,130962.6867,223272.3267
2015-12-31,72215.57,110172.6214,182388.1914
2016-01-31,43460.68,64773.1909,108233.87090000001
