日期,融资买入额(亿元)
2012-09-30,67.61000000000001
2012-10-31,564.23
2012-11-30,557.81
2012-12-31,1258.63
2013-01-31,2041.07
2013-02-28,1680.56
2013-03-31,2096.22
2013-04-30,1511.04
2013-05-31,3045.95
2013-06-30,1944.77
2013-07-31,2771.45
2013-08-31,3263.78
2013-09-30,4015.16
2013-10-31,3711.71
2013-11-30,3506.07
2013-12-31,3453.8
2014-01-31,5196.64
2014-02-28,3937.44
2014-03-31,3784.61
2014-04-30,3514.7799999999997
2014-05-31,2739.5
2014-06-30,3320.0099999999998
2014-07-31,5808.17
2014-08-31,7329.83
2014-09-30,9749.61
2014-10-31,9043.09
2014-11-30,13867.57
2014-12-31,29652.39
2015-01-31,21012.84
2015-02-28,12817.44
2015-03-31,33913.92
2015-04-30,46482.57
2015-05-31,41444.2
2015-06-30,41555.799999999996
2015-07-31,30441.5
2015-08-31,22251.5
2015-09-30,11546.9
2015-10-31,16537.2
2015-11-30,27056.399999999998
2015-12-31,18700.5
2016-01-31,8884.6
2016-02-29,6464.1
2016-03-31,12032.2
2016-04-30,10146.2
2016-05-31,7890.2
2016-06-30,10276.3
2016-07-31,12348.6
2016-08-31,10827.1
2016-09-30,7322.5
2016-10-31,6979.8
2016-11-30,13124.2
2016-12-31,8515.0
2017-01-31,4915.6
2017-02-28,6606.9
2017-03-31,8974.7
2017-04-30,8270.8
2017-05-31,6601.0
2017-06-30,7496.9
2017-07-31,9800.5
2017-08-31,12014.1
2017-09-30,11655.7
2017-10-31,7953.7
2017-11-30,11773.0
2017-12-31,7846.9
2018-01-31,12502.1
2018-02-28,6206.9
2018-03-31,9368.7
2018-04-30,6860.0
2018-05-31,7364.6
2018-06-30,5105.9
2018-07-31,5715.0
2018-08-31,4944.0
2018-09-30,3734.0
2018-10-31,4036.1
2018-11-30,6082.0
2018-12-31,3817.5
2019-01-31,4734.8
2019-02-28,8499.9
2019-03-31,18586.6
2019-04-30,16625.8
2019-05-31,7565.8
2019-06-30,6675.0
2019-07-31,7091.39
2019-08-31,7902.5
2019-09-30,10670.39
2019-10-31,6696.3
2019-11-30,7405.25
2019-12-31,11095.12
2020-01-31,11687.3
2020-02-29,20741.13
2020-03-31,18020.04
2020-04-30,11530.34
2020-05-31,9816.89
2020-06-30,13608.86
2020-07-31,32699.95
2020-08-31,21679.18
2020-09-30,13707.99
2020-10-31,9896.68
2020-11-30,15545.6
2020-12-31,16908.99
2021-01-31,21605.42
2021-02-28,13491.0
2021-03-31,15007.460000000001
2021-04-30,13082.66
2021-05-31,14309.84
2021-06-30,18233.23
2021-07-31,23342.17
2021-08-31,25251.31
2021-09-30,23058.66
2021-10-31,12194.34
2021-11-30,18408.9
2021-12-31,18575.22
2022-01-31,13171.57
2022-02-28,10130.369999999999
2022-03-31,15521.79
2022-04-30,10375.41
2022-05-31,10681.01
2022-06-30,17727.61
2022-07-31,15033.74
2022-08-31,15234.58
2022-09-30,8877.82
2022-10-31,7988.36
2022-11-30,14633.2
2022-12-31,11869.63
2023-01-31,9024.56
2023-02-28,13730.69
2023-03-31,16869.46
2023-04-30,17707.85
2023-05-31,13553.32
2023-06-30,13497.94
2023-07-31,12205.72
2023-08-31,13103.12
2023-09-30,10975.36
2023-10-31,11217.2
2023-11-30,15678.79
2023-12-31,11775.61
2024-01-31,11105.1
2024-02-29,11190.08
2024-03-31,19207.170000000002
2024-04-30,14887.220000000001
2024-05-31,14342.26
2024-06-30,10828.36
2024-07-31,11962.89
2024-08-31,9910.96
2024-09-30,13060.59070637
2024-10-31,36617.29376219
2024-11-30,40718.87965774
2024-12-31,32691.26037298
2025-01-31,19131.93294249
2025-02-28,33030.217828
2025-03-31,29748.4355053
2025-04-30,21906.842907809998
2025-05-31,19694.26249534
2025-06-30,23555.73477516
2025-07-31,36894.937709159996
2025-08-31,52592.78517391
