日期,融资余额(亿元),融券余额(亿元),融资融券余额(亿元),A股总市值(万亿元)
2012-09-30,685.47,15.2,700.6700000000001,242236.9
2012-10-31,752.88,17.24,770.12,245116.91
2012-11-30,747.59,23.93,771.52,229279.95
2012-12-31,856.5,38.14,894.64,262897.81
2013-01-31,1151.87,45.36,1197.2299999999998,282487.31
2013-02-28,1369.9,32.87,1402.77,282696.87
2013-03-31,1616.9,30.35,1647.25,269240.56
2013-04-30,1749.31,30.93,1780.24,266790.94
2013-05-31,2180.49,35.77,2216.2599999999998,286169.97
2013-06-30,2188.0,36.76,2224.76,244486.19
2013-07-31,2285.26,47.9,2333.1600000000003,250273.36
2013-08-31,2485.62,41.11,2526.73,263761.13
2013-09-30,2827.69,33.76,2861.4500000000003,272224.29
2013-10-31,3109.84,36.07,3145.9100000000003,269285.73
2013-11-30,3234.82,38.51,3273.3300000000004,281122.95
2013-12-31,3435.06,30.41,3465.47,269836.3
2014-01-31,3472.17,19.88,3492.05,271043.62
2014-02-28,3837.07,25.69,3862.76,271128.22
2014-03-31,3926.85,27.83,3954.68,268362.67
2014-04-30,3939.18,26.31,3965.49,266684.01
2014-05-31,3915.67,28.07,3943.7400000000002,271597.43
2014-06-30,4034.96,29.93,4064.89,276519.7
2014-07-31,4400.74,48.95,4449.69,295950.5
2014-08-31,5201.04,35.83,5236.87,302094.11
2014-09-30,6070.62,36.91,6107.53,326394.03
2014-10-31,6968.73,47.59,7016.32,332657.79
2014-11-30,8188.45,63.52,8251.97,367899.76
2014-12-31,10172.06,81.84,10253.9,418573.66
2015-01-31,11258.33,58.69,11317.02,442453.16
2015-02-28,11522.99,55.11,11578.1,455947.24
2015-03-31,14864.39,79.29,14943.68,532769.06
2015-04-30,18307.0,87.8,18394.8,630746.91
2015-05-31,20728.6,71.7,20800.3,694300.85
2015-06-30,20444.8,47.0,20491.8,651353.72
2015-07-31,13352.0,32.6,13384.6,565086.19
2015-08-31,10558.6,32.6,10591.2,485845.2
2015-09-30,9040.5,26.8,9067.3,464575.79
2015-10-31,10301.7,29.0,10330.7,528014.39
2015-11-30,11932.0,29.1,11961.1,554980.69
2015-12-31,11712.2,29.6,11741.800000000001,590784.71
2016-01-31,9070.4,20.7,9091.1,446251.7
2016-02-29,8508.0,21.0,8529.0,438223.67
2016-03-31,8785.8,23.0,8808.8,499189.88
2016-04-30,8570.2,24.0,8594.2,492961.32
2016-05-31,8269.8,22.8,8292.599999999999,494142.29
2016-06-30,8508.6,26.9,8535.5,507551.95
2016-07-31,8636.3,31.7,8668.0,512053.74
2016-08-31,8995.9,38.6,9034.5,539348.67
2016-09-30,8685.4,31.1,8716.5,530126.18
2016-10-31,9075.5,38.9,9114.4,552353.57
2016-11-30,9720.1,44.5,9764.6,580926.34
2016-12-31,9356.3,34.9,9391.199999999999,555714.83
2017-01-31,8649.0,29.8,8678.8,565833.27
2017-02-28,9062.1,40.6,9102.7,590695.58
2017-03-31,9178.7,42.2,9220.900000000001,589428.8
2017-04-30,9045.3,46.0,9091.3,578640.3
2017-05-31,8647.2,48.6,8695.800000000001,568965.59
2017-06-30,8754.6,42.5,8797.1,588972.68
2017-07-31,8960.7,48.0,9008.7,600182.69
2017-08-31,9415.2,46.9,9462.1,622394.42
2017-09-30,9655.5,37.6,9693.1,626290.34
2017-10-31,9945.6,47.1,9992.7,641417.32
2017-11-30,10237.2,49.4,10286.6,626089.7
2017-12-31,10215.9,45.1,10261.0,628304.35
2018-01-31,10741.1,50.2,10791.300000000001,658387.23
2018-02-28,9901.4,51.9,9953.3,627049.78
2018-03-31,9956.6,52.3,10008.9,617333.4
2018-04-30,9787.6,51.5,9839.1,600547.37
2018-05-31,9829.0,61.6,9890.6,603030.36
2018-06-30,9127.7,65.6,9193.300000000001,545434.7
2018-07-31,8842.5,74.4,8916.9,562617.95
2018-08-31,8501.9,73.9,8575.8,533652.31
2018-09-30,8151.6,76.6,8228.2,539306.04
2018-10-31,7621.1,82.0,7703.1,502480.41
2018-11-30,7621.1,80.3,7701.400000000001,503995.32
2018-12-31,7489.9,67.9,7557.799999999999,484979.27
2019-01-31,7219.0,62.8,7281.8,505096.15
2019-02-28,7965.0,80.5,8045.5,585821.47
2019-03-31,9132.2,88.9,9221.1,624479.12
2019-04-30,9524.9,73.8,9598.699999999999,615814.23
2019-05-31,9147.9,76.7,9224.6,584007.41
2019-06-30,9019.4,88.4,9107.8,615239.41
2019-07-31,8974.65,111.25,9085.9,598931.08
2019-08-31,9134.56,128.83,9263.39,599971.96
2019-09-30,9372.55,116.31,9488.859999999999,611661.11
2019-10-31,9532.28,133.65,9665.93,614681.44
2019-11-30,9519.79,130.31,9650.1,607847.5
2019-12-31,10054.69,137.38,10192.07,655607.33
2020-01-31,10269.1,100.71,10369.81,679464.21
2020-02-29,10878.6,144.33,11022.93,655757.63
2020-03-31,10474.06,177.14,10651.199999999999,617230.56
2020-04-30,10216.0,213.72,10429.72,641607.1
2020-05-31,10518.88,261.01,10779.89,673584.31
2020-06-30,11313.35,322.74,11636.09,714326.41
2020-07-31,13719.47,526.91,14246.38,795052.79
2020-08-31,14256.66,698.05,14954.71,830340.69
2020-09-30,13885.96,835.95,14721.91,786840.44
2020-10-31,14148.41,1036.61,15185.02,802503.69
2020-11-30,14571.4,1174.87,15746.27,857960.3
2020-12-31,14819.95,1369.73,16189.68,853210.37
2021-01-31,15401.83,1422.39,16824.22,881746.02
2021-02-28,15303.41,1396.67,16700.08,890178.94
2021-03-31,15096.84,1450.42,16547.260000000002,864771.31
2021-04-30,15025.21,1516.93,16542.14,880261.37
2021-05-31,15695.52,1569.5,17265.02,928159.59
2021-06-30,16281.19,1559.99,17841.18,933024.16
2021-07-31,16473.72,1555.72,18029.440000000002,898211.92
2021-08-31,17066.52,1648.13,18714.65,939677.07
2021-09-30,16853.08,1561.2,18414.280000000002,925650.37
2021-10-31,16967.97,1498.29,18466.260000000002,941727.95
2021-11-30,17239.23,1287.39,18526.62,970238.06
2021-12-31,17120.06,1201.47,18321.530000000002,982732.52
2022-01-31,16202.38,929.3,17131.68,926091.04
2022-02-28,16310.99,960.5,17271.489999999998,954307.01
2022-03-31,15806.68,921.53,16728.21,888802.52
2022-04-30,14337.64,782.8,15120.439999999999,802700.4
2022-05-31,14445.49,780.76,15226.25,870957.0
2022-06-30,15097.45,935.71,16033.16,939532.41
2022-07-31,15277.13,997.48,16274.609999999999,916952.83
2022-08-31,15107.46,1047.44,16154.9,893193.94
2022-09-30,14436.11,946.82,15382.93,851566.14
2022-10-31,14428.48,1038.66,15467.14,844402.23
2022-11-30,14643.68,999.17,15642.85,897143.08
2022-12-31,14445.24,958.85,15404.09,871678.49
2023-01-31,14450.81,907.02,15357.83,945768.4
