candle_end_time,open,high,low,close,amount,info
2010-06-01,986.02,994.79,948.12,973.23,1356285.10,{}
2010-06-02,967.61,997.12,952.61,997.12,1074627.58,{}
2010-06-03,1002.36,1026.70,997.78,998.39,1616805.39,{}
2010-06-04,989.68,1027.68,986.50,1027.68,1500295.01,{}
2010-06-07,1005.03,1075.23,1001.70,1069.47,2655275.37,{}
2010-06-08,1067.32,1075.50,1050.97,1067.15,1976720.78,{}
2010-06-09,1070.85,1102.10,1069.43,1077.82,2541568.09,{}
2010-06-10,1077.68,1119.11,1076.28,1117.48,2197404.71,{}
2010-06-11,1122.44,1128.23,1118.71,1122.20,2224874.19,{}
2010-06-17,1126.13,1129.69,1064.84,1064.84,1764283.56,{}
2010-06-18,1052.07,1053.14,993.17,1000.28,1630650.95,{}
2010-06-21,991.96,1043.16,976.41,1040.80,1574797.64,{}
2010-06-22,1037.04,1057.37,1033.65,1035.00,1427162.06,{}
2010-06-23,1026.87,1056.35,1023.74,1047.34,1257359.43,{}
2010-06-24,1046.76,1059.75,1041.54,1050.60,1069132.94,{}
2010-06-25,1046.21,1046.21,999.16,1016.28,1237298.34,{}
2010-06-28,1009.22,1014.41,984.22,987.83,920673.32,{}
2010-06-29,985.57,992.23,912.54,913.31,1497799.69,{}
2010-06-30,898.29,921.81,881.36,919.31,1223661.04,{}
2010-07-01,914.40,921.21,882.19,882.19,1049572.91,{}
2010-07-02,878.95,885.34,832.62,873.12,1288833.50,{}
2010-07-05,857.37,870.86,842.73,862.27,915864.33,{}
2010-07-06,859.26,898.45,857.80,893.72,1165231.57,{}
2010-07-07,896.53,908.55,890.34,908.55,1046162.96,{}
2010-07-08,912.00,914.30,887.03,905.51,1098087.88,{}
2010-07-09,903.50,936.53,896.89,932.15,1451460.33,{}
2010-07-12,931.54,941.07,924.06,930.17,1263617.53,{}
2010-07-13,924.95,936.64,906.30,931.08,1468657.41,{}
2010-07-14,929.75,937.93,916.07,922.36,1423586.18,{}
2010-07-15,920.05,930.56,892.56,892.56,1175880.81,{}
2010-07-16,885.07,895.06,869.02,892.30,1009312.28,{}
2010-07-19,881.66,910.18,878.07,908.05,938802.57,{}
2010-07-20,909.54,937.55,909.54,937.02,1365808.67,{}
2010-07-21,940.10,959.04,938.16,941.25,1665745.58,{}
2010-07-22,938.22,950.21,932.02,950.21,1326602.71,{}
2010-07-23,951.84,964.74,948.13,960.59,1721251.33,{}
2010-07-26,962.76,966.73,954.76,966.15,1476035.66,{}
2010-07-27,963.54,968.04,955.73,957.97,1361821.30,{}
2010-07-28,955.19,972.53,954.52,972.53,1566182.68,{}
2010-07-29,974.30,982.02,965.61,975.36,1794193.09,{}
2010-07-30,971.66,971.66,955.92,968.43,1458486.78,{}
2010-08-02,968.45,994.23,968.45,994.23,1810364.29,{}
2010-08-03,995.20,996.26,975.65,975.65,1757058.77,{}
2010-08-04,971.41,978.01,955.93,978.01,1446165.38,{}
2010-08-05,980.27,998.10,978.33,987.35,1770399.72,{}
2010-08-06,987.97,1011.39,985.63,1011.39,1899061.35,{}
2010-08-09,1013.25,1032.34,1013.25,1032.34,2091995.02,{}
